system:index,Presence,.geo
00000000000000000000,0,"{""type"":""Point"",""coordinates"":[-121.67168683217909,45.730114653167846]}"
00000000000000000001,0,"{""type"":""Point"",""coordinates"":[-121.67021532883146,45.72993628912572]}"
00000000000000000002,0,"{""type"":""Point"",""coordinates"":[-121.66957767738081,45.729927370923605]}"
00000000000000000003,0,"{""type"":""Point"",""coordinates"":[-121.66938593603551,45.729222832957156]}"
00000000000000000004,0,"{""type"":""Point"",""coordinates"":[-121.66916298098285,45.729254046664536]}"
00000000000000000005,0,"{""type"":""Point"",""coordinates"":[-121.66916298098285,45.729254046664536]}"
00000000000000000006,0,"{""type"":""Point"",""coordinates"":[-121.66873044818067,45.72935214688771]}"
00000000000000000007,0,"{""type"":""Point"",""coordinates"":[-121.66877949829225,45.72916040554242]}"
00000000000000000008,0,"{""type"":""Point"",""coordinates"":[-121.66689329854665,45.72845140847491]}"
00000000000000000009,0,"{""type"":""Point"",""coordinates"":[-121.660249237977,45.70884474114292]}"
0000000000000000000a,0,"{""type"":""Point"",""coordinates"":[-121.660249237977,45.70884474114292]}"
0000000000000000000b,0,"{""type"":""Point"",""coordinates"":[-121.65962496382951,45.710490149431635]}"
0000000000000000000c,0,"{""type"":""Point"",""coordinates"":[-121.65962496382951,45.710490149431635]}"
0000000000000000000d,0,"{""type"":""Point"",""coordinates"":[-121.64016098773126,45.722418244749605]}"
0000000000000000000e,0,"{""type"":""Point"",""coordinates"":[-121.64033043357128,45.72252080407384]}"
0000000000000000000f,0,"{""type"":""Point"",""coordinates"":[-121.63991127807223,45.7220927303727]}"
00000000000000000010,0,"{""type"":""Point"",""coordinates"":[-121.63595605543783,45.715145450931445]}"
00000000000000000011,0,"{""type"":""Point"",""coordinates"":[-121.63442658377652,45.702798200114444]}"
00000000000000000012,0,"{""type"":""Point"",""coordinates"":[-121.61745970426813,45.71722339202233]}"
00000000000000000013,0,"{""type"":""Point"",""coordinates"":[-121.62104928061616,45.72483953662163]}"
00000000000000000014,0,"{""type"":""Point"",""coordinates"":[-121.61718324000282,45.724812782015306]}"
00000000000000000015,0,"{""type"":""Point"",""coordinates"":[-121.6159302326068,45.723889748097235]}"
00000000000000000016,0,"{""type"":""Point"",""coordinates"":[-121.6132681492779,45.72655183142615]}"
00000000000000000017,0,"{""type"":""Point"",""coordinates"":[-121.60943778147303,45.726507240415614]}"
00000000000000000018,0,"{""type"":""Point"",""coordinates"":[-121.61207311019558,45.72368908854984]}"
00000000000000000019,0,"{""type"":""Point"",""coordinates"":[-121.60680691185145,45.728812595660244]}"
0000000000000000001a,0,"{""type"":""Point"",""coordinates"":[-121.61015123764156,45.72886164577184]}"
0000000000000000001b,0,"{""type"":""Point"",""coordinates"":[-121.84846789344297,45.68568862937238]}"
0000000000000000001c,0,"{""type"":""Point"",""coordinates"":[-121.84838317052294,45.686941636768395]}"
0000000000000000001d,0,"{""type"":""Point"",""coordinates"":[-121.84952024129157,45.68769076574536]}"
0000000000000000001e,0,"{""type"":""Point"",""coordinates"":[-122.0738130242799,45.547621483454535]}"
0000000000000000001f,0,"{""type"":""Point"",""coordinates"":[-122.07366141484411,45.54742082390713]}"
00000000000000000020,0,"{""type"":""Point"",""coordinates"":[-122.07232368452806,45.54869166770735]}"
00000000000000000021,0,"{""type"":""Point"",""coordinates"":[-122.08713681822762,45.55228570315643]}"
00000000000000000022,0,"{""type"":""Point"",""coordinates"":[-122.18006448418141,45.53647818992197]}"
00000000000000000023,0,"{""type"":""Point"",""coordinates"":[-122.18036770305305,45.53684383620835]}"
00000000000000000024,0,"{""type"":""Point"",""coordinates"":[-122.18906740920832,45.53086864079673]}"
00000000000000000025,0,"{""type"":""Point"",""coordinates"":[-122.18724809597849,45.53527423263753]}"
00000000000000000026,0,"{""type"":""Point"",""coordinates"":[-122.18724809597849,45.53527423263753]}"
00000000000000000027,0,"{""type"":""Point"",""coordinates"":[-122.18579442903508,45.53450726725635]}"
00000000000000000028,0,"{""type"":""Point"",""coordinates"":[-122.18938846448417,45.532094893586425]}"
00000000000000000029,0,"{""type"":""Point"",""coordinates"":[-122.19018664357273,45.532612149308626]}"
0000000000000000002a,0,"{""type"":""Point"",""coordinates"":[-122.1883673303429,45.53061893113774]}"
0000000000000000002b,0,"{""type"":""Point"",""coordinates"":[-122.19044081233277,45.5286881403816]}"
0000000000000000002c,0,"{""type"":""Point"",""coordinates"":[-122.18846097146503,45.529178641497474]}"
0000000000000000002d,0,"{""type"":""Point"",""coordinates"":[-122.19146194647402,45.52921877340695]}"
0000000000000000002e,0,"{""type"":""Point"",""coordinates"":[-122.19247416241316,45.52923215071012]}"
0000000000000000002f,0,"{""type"":""Point"",""coordinates"":[-122.11138540975625,45.568619390315206]}"
00000000000000000030,0,"{""type"":""Point"",""coordinates"":[-122.11979527434303,45.57597690705339]}"
00000000000000000031,0,"{""type"":""Point"",""coordinates"":[-122.09100731794202,45.580485058218414]}"
00000000000000000032,0,"{""type"":""Point"",""coordinates"":[-122.06919339558854,45.5763693079461]}"
00000000000000000033,0,"{""type"":""Point"",""coordinates"":[-122.067980520102,45.5818094112313]}"
00000000000000000034,0,"{""type"":""Point"",""coordinates"":[-122.06092622223545,45.573863293154055]}"
00000000000000000035,0,"{""type"":""Point"",""coordinates"":[-122.0428936175753,45.576293503228186]}"
00000000000000000036,0,"{""type"":""Point"",""coordinates"":[-122.0428936175753,45.576293503228186]}"
00000000000000000037,0,"{""type"":""Point"",""coordinates"":[-122.07139619150892,45.58798972529137]}"
00000000000000000038,0,"{""type"":""Point"",""coordinates"":[-122.0226002486811,45.58603217992891]}"
00000000000000000039,0,"{""type"":""Point"",""coordinates"":[-122.01587146519141,45.592881359147]}"
0000000000000000003a,0,"{""type"":""Point"",""coordinates"":[-121.98875121258438,45.60240153989611]}"
0000000000000000003b,0,"{""type"":""Point"",""coordinates"":[-121.98594643802174,45.59624352134129]}"
0000000000000000003c,0,"{""type"":""Point"",""coordinates"":[-121.9814115322504,45.59395154339983]}"
0000000000000000003d,0,"{""type"":""Point"",""coordinates"":[-121.98365891918132,45.61125731458825]}"
0000000000000000003e,0,"{""type"":""Point"",""coordinates"":[-121.98579928768697,45.60487634098078]}"
0000000000000000003f,0,"{""type"":""Point"",""coordinates"":[-121.970116629282,45.594656081366274]}"
00000000000000000040,0,"{""type"":""Point"",""coordinates"":[-121.96443573453992,45.61417356667721]}"
00000000000000000041,0,"{""type"":""Point"",""coordinates"":[-121.95834906160196,45.60067140868738]}"
00000000000000000042,0,"{""type"":""Point"",""coordinates"":[-121.96008365191177,45.59609191190548]}"
00000000000000000043,0,"{""type"":""Point"",""coordinates"":[-121.95727887734915,45.60627649871155]}"
00000000000000000044,0,"{""type"":""Point"",""coordinates"":[-121.95277518528518,45.61601963451334]}"
00000000000000000045,0,"{""type"":""Point"",""coordinates"":[-121.95639151623952,45.62398804809584]}"
00000000000000000046,0,"{""type"":""Point"",""coordinates"":[-121.99092725389846,45.61428504420354]}"
00000000000000000047,0,"{""type"":""Point"",""coordinates"":[-121.97409414742171,45.59062059491291]}"
00000000000000000048,0,"{""type"":""Point"",""coordinates"":[-121.18774951305072,45.596234603139195]}"
00000000000000000049,0,"{""type"":""Point"",""coordinates"":[-121.17174134026885,45.593603733517654]}"
0000000000000000004a,0,"{""type"":""Point"",""coordinates"":[-121.15841754632115,45.59129837827303]}"
0000000000000000004b,0,"{""type"":""Point"",""coordinates"":[-121.15661606949556,45.59784433861949]}"
0000000000000000004c,0,"{""type"":""Point"",""coordinates"":[-121.1383382142775,45.60588409781885]}"
0000000000000000004d,0,"{""type"":""Point"",""coordinates"":[-121.20139882137532,45.61173443840097]}"
0000000000000000004e,0,"{""type"":""Point"",""coordinates"":[-121.18674621531368,45.60491647289026]}"
0000000000000000004f,0,"{""type"":""Point"",""coordinates"":[-121.17409128652402,45.6188868364907]}"
00000000000000000050,0,"{""type"":""Point"",""coordinates"":[-121.15401195448034,45.59250233555746]}"
00000000000000000051,0,"{""type"":""Point"",""coordinates"":[-121.14255652387405,45.597643679072085]}"
