system:index,Presence,.geo
00000000000000000000,0,"{""type"":""Point"",""coordinates"":[-120.24212132994964,48.18323558850847]}"
00000000000000000001,0,"{""type"":""Point"",""coordinates"":[-121.11936028019403,47.935421047463215]}"
00000000000000000002,0,"{""type"":""Point"",""coordinates"":[-120.550851650486,48.16041390931692]}"
00000000000000000003,0,"{""type"":""Point"",""coordinates"":[-120.19967514702189,47.835889452849244]}"
00000000000000000004,0,"{""type"":""Point"",""coordinates"":[-120.69253512735818,48.20490681962821]}"
00000000000000000005,0,"{""type"":""Point"",""coordinates"":[-120.61988745299546,48.253577907626564]}"
00000000000000000006,0,"{""type"":""Point"",""coordinates"":[-120.60588141658656,47.76846338582009]}"
00000000000000000007,0,"{""type"":""Point"",""coordinates"":[-121.57681499816599,47.896163121788675]}"
00000000000000000008,0,"{""type"":""Point"",""coordinates"":[-120.23660096284544,47.85519290130961]}"
00000000000000000009,0,"{""type"":""Point"",""coordinates"":[-121.29912893916371,47.83139021988631]}"
0000000000000000000a,0,"{""type"":""Point"",""coordinates"":[-120.90761540757009,48.19558283932545]}"
0000000000000000000c,0,"{""type"":""Point"",""coordinates"":[-120.36928597379176,47.897313569860465]}"
0000000000000000000d,0,"{""type"":""Point"",""coordinates"":[-121.42481762055718,48.22610092693523]}"
0000000000000000000e,0,"{""type"":""Point"",""coordinates"":[-121.31649713776687,47.74702848705617]}"
0000000000000000000f,0,"{""type"":""Point"",""coordinates"":[-121.33177401797596,48.15199958562907]}"
00000000000000000010,0,"{""type"":""Point"",""coordinates"":[-120.36059072673754,47.81332194241775]}"
00000000000000000011,0,"{""type"":""Point"",""coordinates"":[-120.22894914543772,48.14404454934972]}"
00000000000000000012,0,"{""type"":""Point"",""coordinates"":[-121.33238937392137,48.23505926095161]}"
00000000000000000013,0,"{""type"":""Point"",""coordinates"":[-120.39101517322523,48.29610881347434]}"
00000000000000000014,0,"{""type"":""Point"",""coordinates"":[-121.4516078996863,48.158946865070355]}"
00000000000000000015,0,"{""type"":""Point"",""coordinates"":[-120.72212572194884,47.80064471812281]}"
