system:index,B,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,G,N,R,VH,VV,awei_nsh,awei_sh,constant,cti,elevation,evi,msavi2,naip_NDVI,nbi,nbr,nbr_max_var,nbr_var_median,nbr_var_pct,nd_max,nd_median,ndvi,ndvi_diff,ndwi,roughness,slope,tpi,tri,.geo
00000000000000000000_0,128.0,0.1518,0.0016,0.3023,0.2274,0.1381,0.1335,0.1533,0.1622,0.1843,0.202,0.1996,0.069,147.0,149.0,157.0,-23.841623652192947,-12.88583151697722,-1.3504500575363636,-0.33785001933574677,173,-1.401955,336.7557,0.10681491491727968,0.06964748473535776,-0.026143791,0.37161687,-0.0065566357,0.019735208634038128,0.002080684876545709,0.001704901045330864,0.006849315,-0.023890786,0.13119864,0.09244676,-0.263897,58.6527,8.829907,-43,0.765552448593508,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.32937264929225,48.10428939119411]}"
00000000000000000001_0,69.0,0.131,0.0014,0.2191,0.13205,0.102,0.0969,0.0859,0.12815,0.1941,0.2226,0.23265,0.0942,84.0,149.0,72.0,-17.584356946528693,-12.908639559524646,-0.9100999683141708,-0.366387490183115,161,-1.6750191,867.48224,0.37320073465201653,0.23941980049197475,0.3484163,0.31952247,0.30335608,0.013463628123300988,0.002025392281583424,0.0017763210956774217,0.5875,0.17446809,0.4477866,0.1641852,-0.17362642,24.701931,6.3249187,43,0.23211178171899555,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.23002355315049,47.793831629002405]}"
00000000000000000002_0,98.0,0.1405,0.0016,0.2816,0.2029,0.1232,0.1172,0.132,0.1497,0.1785,0.1969,0.1947,0.0769,125.0,149.0,138.0,-26.324535953606073,-16.568972445200004,-1.2642500065267086,-0.3489749990403652,170,1.7887737,679.34985,0.1475016542434236,0.09703112533183189,0.038327526,0.37056926,0.04196285,0.01678649760035457,0.006678250095065938,0.006953938648064753,0.1056338,0.03780069,0.18641116,0.193778,-0.26231304,3.2593827,1.1915504,9,0.6298133241895509,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.4139041175279,48.11219456569436]}"
00000000000000000003_0,83.0,0.1324,0.0016,0.2423,0.1433,0.1045,0.0969,0.0909,0.1269,0.2274,0.2619,0.2571,0.0892,104.0,180.0,91.0,-16.046956510327874,-10.407204455649111,-1.0399499982595444,-0.4381749778985977,157,2.4335353,621.8192,0.40785275882034067,0.26638580278523066,0.32841328,0.33698255,0.33528486,0.013763885934254101,0.0034189585422640806,0.00396334249598522,0.5546219,0.09090909,0.4422073,0.18759412,-0.18433544,32.08113,6.6178427,5,1.483246571883811,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.04550501951049,48.070422904982806]}"
00000000000000000004_0,113.5,0.1505,0.0016,0.3135,0.2379,0.1398,0.1388,0.1656,0.1766,0.2033,0.2221,0.2224,0.0851,127.5,132.5,141.0,-25.16922287061629,-14.273237568310657,-1.4086249768733978,-0.37652498856186867,186,-2.3835232,597.78625,0.12162739106755241,0.08344634496491254,-0.03107861,0.3750563,0.0058859345,0.020000908812341116,0.0028542689780470185,0.0023816058561311982,-0.0017211704,-0.0464716,0.14258096,0.14946614,-0.26532716,40.744896,13.558966,39,0.8457954709490845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.87473985828122,47.909444806068585]}"
00000000000000000005_0,74.0,0.131,0.0012,0.1907,0.1013,0.1134,0.1218,0.0965,0.1371,0.2917,0.3433,0.3336,0.1068,83.0,165.0,62.0,-17.610211516522043,-11.727799398060553,-0.6375749930739403,-0.39387502148747444,168,2.2735205,278.45944,0.5580924641494751,0.3638245799189234,0.4537445,0.26560146,0.57612914,0.026077482894084625,8.366415291947149E-4,9.572829177075248E-4,0.65258217,0.3852459,0.5416768,-0.08731806,0.085134536,31.546291,3.7207866,-23,0.5659226102825677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.8294647679616,48.07150088332375]}"
00000000000000000006_0,98.0,0.1375,0.0015,0.2256,0.1506,0.1181,0.1075,0.1156,0.1281,0.158,0.175,0.1608,0.0706,91.0,72.0,86.0,-23.91668503970694,-12.15834519365577,-0.926750011742115,-0.2303999923169613,143,-0.8782377,674.86127,0.11665720213807866,0.07236423983622353,-0.088607594,0.36987105,0.15043715,0.00840745889971975,0.0010682024235293686,0.0014927705276716417,0.31451613,-0.036789298,0.14905335,0.16153422,-0.16421129,41.90028,29.450642,-7,2.9858612846784216,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.29379936404112,48.03071736942472]}"
00000000000000000007_0,71.0,0.1193,0.001,0.0096,0.0065,0.0876,0.0603,0.0382,0.0323,0.0297,0.0283,0.0237,0.0099,45.0,8.0,37.0,-29.051743619330534,-22.330728860617928,0.17899999767541885,0.18677499843761325,170,2.5560267,238.31573,-0.060832345895391896,-0.026992005935687624,-0.64444447,0.3519613,0.5680751,0.03991178462698149,0.0017880945237697121,0.0019902995341453678,-0.6086956,-0.61702126,-0.21963824,0.0428845,0.8135116,0.5755792,0.0,-25,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.86683468378097,47.9561572008428]}"
00000000000000000008_0,114.0,0.1523,0.0016,0.3277,0.2408,0.1401,0.1406,0.164,0.179,0.2087,0.2307,0.2287,0.0802,135.0,147.0,145.0,-24.8078515172957,-15.702970869599655,-1.4677749536931515,-0.4031999856233597,169,-0.25021753,369.85907,0.1392056287775091,0.0949778965761503,0.006849315,0.36766362,0.027728613,0.0029837923828040353,0.005107146902073106,0.004810887026914712,0.16793893,0.010676157,0.16614746,0.02494046,-0.26871794,1.9347237,0.7549929,-17,0.22314403315745368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.32874382859337,48.14677970413296]}"
00000000000000000009_0,65.0,0.1274,0.00125,0.15845,0.0706,0.0913,0.08265,0.0512,0.0935,0.27915,0.3622,0.36895,0.09575,70.0,179.0,50.0,-17.84546669158043,-11.09937037485484,-0.5895875468850136,-0.5108250267803669,164,-1.8539933,272.57803,0.8012659317553782,0.5231551316170724,0.5633188,0.2658228,0.7058829,0.02262434657498038,2.886606636050004E-4,5.282998758890378E-4,0.5770925,0.54464287,0.7596256,0.0138171315,0.07154326,42.64504,6.613908,-30,0.388329784462794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.29649888417534,47.485619655021]}"
