system:index,Presence,.geo
00000000000000000000,0,"{""type"":""Point"",""coordinates"":[-119.32938347621874,48.104273827054044]}"
00000000000000000001,0,"{""type"":""Point"",""coordinates"":[-120.23003716609479,47.79382229351103]}"
00000000000000000002,0,"{""type"":""Point"",""coordinates"":[-119.41390127758577,48.11219319052496]}"
00000000000000000003,0,"{""type"":""Point"",""coordinates"":[-119.04553939866163,48.07046492286682]}"
00000000000000000004,0,"{""type"":""Point"",""coordinates"":[-119.87474045325727,47.90945570202899]}"
00000000000000000005,0,"{""type"":""Point"",""coordinates"":[-119.82949395486794,48.071494975210165]}"
00000000000000000006,0,"{""type"":""Point"",""coordinates"":[-119.29379093161012,48.03069865967218]}"
00000000000000000007,0,"{""type"":""Point"",""coordinates"":[-119.86679433518003,47.95619154017015]}"
00000000000000000008,0,"{""type"":""Point"",""coordinates"":[-119.3287547429702,48.146751223689165]}"
00000000000000000009,0,"{""type"":""Point"",""coordinates"":[-120.29648668999324,47.48562706510107]}"
0000000000000000000a,0,"{""type"":""Point"",""coordinates"":[-119.31561823126677,48.13319555648669]}"
0000000000000000000b,0,"{""type"":""Point"",""coordinates"":[-120.02700091782822,47.76751359729571]}"
0000000000000000000c,0,"{""type"":""Point"",""coordinates"":[-119.7524228522602,48.06208181288635]}"
0000000000000000000d,0,"{""type"":""Point"",""coordinates"":[-119.72033070197854,48.08015900855701]}"
0000000000000000000e,0,"{""type"":""Point"",""coordinates"":[-119.2116765857109,48.14545808438367]}"
0000000000000000000f,0,"{""type"":""Point"",""coordinates"":[-119.00254028720325,48.150612805201455]}"
00000000000000000010,0,"{""type"":""Point"",""coordinates"":[-120.27247443082042,47.5913211373709]}"
00000000000000000011,0,"{""type"":""Point"",""coordinates"":[-119.79361156869086,48.06760663909156]}"
00000000000000000012,0,"{""type"":""Point"",""coordinates"":[-120.26411807544626,47.65399826177813]}"
00000000000000000013,0,"{""type"":""Point"",""coordinates"":[-119.42407694618971,48.10677984184608]}"
00000000000000000014,0,"{""type"":""Point"",""coordinates"":[-120.30089674093507,47.521776997341355]}"
00000000000000000015,0,"{""type"":""Point"",""coordinates"":[-118.96410283612252,48.05046585464211]}"
00000000000000000016,0,"{""type"":""Point"",""coordinates"":[-119.46838257425674,48.09439245911961]}"
00000000000000000017,0,"{""type"":""Point"",""coordinates"":[-120.17540425998796,47.58041863529521]}"
00000000000000000018,0,"{""type"":""Point"",""coordinates"":[-120.1747755267394,47.76517256924265]}"
00000000000000000019,0,"{""type"":""Point"",""coordinates"":[-119.8089330399105,48.00915228338193]}"
0000000000000000001a,0,"{""type"":""Point"",""coordinates"":[-119.80814823812511,47.97372918461336]}"
0000000000000000001b,0,"{""type"":""Point"",""coordinates"":[-118.98458794636205,48.09391979440794]}"
0000000000000000001c,0,"{""type"":""Point"",""coordinates"":[-118.90626829545934,47.996577618411216]}"
0000000000000000001d,0,"{""type"":""Point"",""coordinates"":[-119.67535620875348,48.12733629770246]}"
0000000000000000001e,0,"{""type"":""Point"",""coordinates"":[-119.72405405135818,48.08735599765727]}"
0000000000000000001f,0,"{""type"":""Point"",""coordinates"":[-119.63492108040084,48.03913081976425]}"
00000000000000000020,0,"{""type"":""Point"",""coordinates"":[-120.18837578495244,47.70324903291344]}"
00000000000000000021,0,"{""type"":""Point"",""coordinates"":[-119.65803260116085,48.07041587275523]}"
00000000000000000023,0,"{""type"":""Point"",""coordinates"":[-119.27614180964056,48.03714651979547]}"
00000000000000000024,0,"{""type"":""Point"",""coordinates"":[-120.3007808043077,47.53403506613728]}"
00000000000000000025,0,"{""type"":""Point"",""coordinates"":[-120.07484261303064,47.74916885556183]}"
00000000000000000026,0,"{""type"":""Point"",""coordinates"":[-119.45890252541713,48.0529005238173]}"
00000000000000000027,0,"{""type"":""Point"",""coordinates"":[-119.16940876682531,48.07792945803028]}"
00000000000000000028,0,"{""type"":""Point"",""coordinates"":[-120.24815895277598,47.591588683434104]}"
00000000000000000029,0,"{""type"":""Point"",""coordinates"":[-119.82016997456519,47.98324936536247]}"
0000000000000000002a,0,"{""type"":""Point"",""coordinates"":[-119.7572475996,48.11159121188275]}"
0000000000000000002b,0,"{""type"":""Point"",""coordinates"":[-119.21799959100473,48.0856481619538]}"
0000000000000000002c,0,"{""type"":""Point"",""coordinates"":[-119.62391601900094,47.96596588967932]}"
0000000000000000002d,0,"{""type"":""Point"",""coordinates"":[-119.98996362447829,47.78181393437411]}"
0000000000000000002e,0,"{""type"":""Point"",""coordinates"":[-119.70899120799962,48.13135394775161]}"
0000000000000000002f,0,"{""type"":""Point"",""coordinates"":[-119.62355037271455,48.102436677420016]}"
00000000000000000031,0,"{""type"":""Point"",""coordinates"":[-119.89177867838248,48.02863409588444]}"
00000000000000000032,0,"{""type"":""Point"",""coordinates"":[-120.14836427119984,47.61090105009658]}"
00000000000000000033,0,"{""type"":""Point"",""coordinates"":[-120.16769447426655,47.78102021438659]}"
00000000000000000034,0,"{""type"":""Point"",""coordinates"":[-120.04586291528435,47.75864444530039]}"
00000000000000000035,0,"{""type"":""Point"",""coordinates"":[-119.14868732422995,48.118850628397766]}"
00000000000000000036,0,"{""type"":""Point"",""coordinates"":[-119.25279395652474,48.16215741782883]}"
00000000000000000037,0,"{""type"":""Point"",""coordinates"":[-119.00230395484739,48.009731966518885]}"
00000000000000000038,0,"{""type"":""Point"",""coordinates"":[-119.45269991585177,48.09561871190931]}"
00000000000000000039,0,"{""type"":""Point"",""coordinates"":[-120.22785220657859,47.763366633316]}"
0000000000000000003a,0,"{""type"":""Point"",""coordinates"":[-119.31892242514736,48.0505149047537]}"
0000000000000000003b,0,"{""type"":""Point"",""coordinates"":[-119.62696604412152,48.10660147780394]}"
0000000000000000003c,0,"{""type"":""Point"",""coordinates"":[-119.17141982140042,48.11040509100253]}"
0000000000000000003d,0,"{""type"":""Point"",""coordinates"":[-119.20450189211594,48.06827550424956]}"
0000000000000000003e,0,"{""type"":""Point"",""coordinates"":[-120.29215690287035,47.580547949225775]}"
0000000000000000003f,0,"{""type"":""Point"",""coordinates"":[-119.23057425597541,48.124246140672426]}"
00000000000000000041,0,"{""type"":""Point"",""coordinates"":[-119.51012421921806,48.037654857315566]}"
00000000000000000042,0,"{""type"":""Point"",""coordinates"":[-120.0077019284689,47.789902743685055]}"
00000000000000000044,0,"{""type"":""Point"",""coordinates"":[-119.5026195521451,48.063156456240215]}"
00000000000000000045,0,"{""type"":""Point"",""coordinates"":[-119.7834180636827,47.99543162944048]}"
00000000000000000046,0,"{""type"":""Point"",""coordinates"":[-120.18088449518264,47.59951250600608]}"
00000000000000000047,0,"{""type"":""Point"",""coordinates"":[-120.2571217458934,47.51038845325086]}"
00000000000000000048,0,"{""type"":""Point"",""coordinates"":[-119.97041938456104,47.80284751404321]}"
00000000000000000049,0,"{""type"":""Point"",""coordinates"":[-120.12534639156198,47.79024163536511]}"
0000000000000000004a,0,"{""type"":""Point"",""coordinates"":[-120.15542748726853,47.63039623990224]}"
0000000000000000004b,0,"{""type"":""Point"",""coordinates"":[-119.85199903788467,47.98254928649707]}"
0000000000000000004c,0,"{""type"":""Point"",""coordinates"":[-119.24030401447403,48.11895764682305]}"
0000000000000000004d,0,"{""type"":""Point"",""coordinates"":[-120.27233173958673,47.54314055048841]}"
0000000000000000004e,0,"{""type"":""Point"",""coordinates"":[-119.0497175763487,48.065662471032255]}"
0000000000000000004f,0,"{""type"":""Point"",""coordinates"":[-119.64989920083937,47.9492620971331]}"
00000000000000000050,0,"{""type"":""Point"",""coordinates"":[-118.99500886552397,48.14573454864898]}"
00000000000000000051,0,"{""type"":""Point"",""coordinates"":[-118.99579366730939,48.10097855137555]}"
00000000000000000052,0,"{""type"":""Point"",""coordinates"":[-119.03548412578611,48.070656664212116]}"
00000000000000000053,0,"{""type"":""Point"",""coordinates"":[-119.7577202643117,48.071963180820774]}"
00000000000000000054,0,"{""type"":""Point"",""coordinates"":[-118.99949026208269,48.02266781867493]}"
00000000000000000055,0,"{""type"":""Point"",""coordinates"":[-119.85701552656984,47.94791990771601]}"
00000000000000000056,0,"{""type"":""Point"",""coordinates"":[-119.05427923672637,48.0814343114583]}"
00000000000000000057,0,"{""type"":""Point"",""coordinates"":[-119.65417101964857,48.066349172594485]}"
00000000000000000058,0,"{""type"":""Point"",""coordinates"":[-120.22787450208385,47.77361364753681]}"
00000000000000000059,0,"{""type"":""Point"",""coordinates"":[-119.39167265883432,48.024076894607816]}"
0000000000000000005a,0,"{""type"":""Point"",""coordinates"":[-118.94321194768713,47.97319409248695]}"
0000000000000000005b,0,"{""type"":""Point"",""coordinates"":[-120.2528989771958,47.59621723032758]}"
0000000000000000005c,0,"{""type"":""Point"",""coordinates"":[-119.36172087705829,48.017334733815005]}"
0000000000000000005d,0,"{""type"":""Point"",""coordinates"":[-119.88309234953034,47.86806186694986]}"
0000000000000000005e,0,"{""type"":""Point"",""coordinates"":[-118.97078702860165,48.09073599625578]}"
0000000000000000005f,0,"{""type"":""Point"",""coordinates"":[-120.16050194426735,47.79132965602216]}"
00000000000000000060,0,"{""type"":""Point"",""coordinates"":[-119.23895736595588,48.045721371121246]}"
00000000000000000061,0,"{""type"":""Point"",""coordinates"":[-119.9809517812493,47.79599833482511]}"
00000000000000000062,0,"{""type"":""Point"",""coordinates"":[-120.12346019181635,47.60454683109542]}"
00000000000000000063,0,"{""type"":""Point"",""coordinates"":[-119.00247785978853,48.06048099560815]}"
00000000000000000064,0,"{""type"":""Point"",""coordinates"":[-119.67418792427749,48.11007511752457]}"
00000000000000000065,0,"{""type"":""Point"",""coordinates"":[-120.15785769734265,47.704390562783125]}"
00000000000000000066,0,"{""type"":""Point"",""coordinates"":[-120.30062473577081,47.48523466420836]}"
00000000000000000067,0,"{""type"":""Point"",""coordinates"":[-119.52586038683563,48.051353215751746]}"
00000000000000000068,0,"{""type"":""Point"",""coordinates"":[-119.04456731463199,48.03599607172368]}"
00000000000000000069,0,"{""type"":""Point"",""coordinates"":[-119.37866100196034,48.022177317559056]}"
0000000000000000006a,0,"{""type"":""Point"",""coordinates"":[-119.34808048693581,48.06482861913526]}"
0000000000000000006b,0,"{""type"":""Point"",""coordinates"":[-119.6902094743625,48.00751579329532]}"
0000000000000000006c,0,"{""type"":""Point"",""coordinates"":[-120.15470957199892,47.628269248699745]}"
0000000000000000006d,0,"{""type"":""Point"",""coordinates"":[-119.6257888414434,48.10180348507044]}"
0000000000000000006e,0,"{""type"":""Point"",""coordinates"":[-120.15785769734265,47.717036573370684]}"
0000000000000000006f,0,"{""type"":""Point"",""coordinates"":[-120.29857800838727,47.511280273461544]}"
00000000000000000070,0,"{""type"":""Point"",""coordinates"":[-119.03048101440416,48.14909671084328]}"
00000000000000000071,0,"{""type"":""Point"",""coordinates"":[-120.16128674605274,47.589225359875776]}"
00000000000000000073,0,"{""type"":""Point"",""coordinates"":[-119.647031998862,48.03578649397417]}"
00000000000000000074,0,"{""type"":""Point"",""coordinates"":[-120.19432868485879,47.6343559216377]}"
00000000000000000075,0,"{""type"":""Point"",""coordinates"":[-119.61443151106026,48.11914938816834]}"
00000000000000000076,0,"{""type"":""Point"",""coordinates"":[-120.19688820886348,47.63684410002553]}"
00000000000000000077,0,"{""type"":""Point"",""coordinates"":[-120.27495369100613,47.583285837272584]}"
00000000000000000078,0,"{""type"":""Point"",""coordinates"":[-119.23424409614242,48.05744434779075]}"
00000000000000000079,0,"{""type"":""Point"",""coordinates"":[-119.73658412531834,47.98847097269606]}"
0000000000000000007a,0,"{""type"":""Point"",""coordinates"":[-120.15804052048586,47.625941597949854]}"
