system:index,B,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,G,N,R,VH,VV,awei_nsh,awei_sh,constant,cti,elevation,evi,msavi2,naip_NDVI,nbi,nbr,nbr_max_var,nbr_var_median,nbr_var_pct,nd_max,nd_median,ndvi,ndvi_diff,ndwi,roughness,slope,tpi,tri,.geo
00000000000000000000_0,72.0,0.11875,0.00115,0.1281,0.0674,0.08535,0.0671,0.053,0.0773,0.1336,0.16395,0.12965,0.05735,83.0,149.0,64.0,-24.185085650287675,-17.94974174798031,-0.46176245994865894,-0.1503749769181013,163,-0.5694877,426.80396,0.23729914738794816,0.1365383221339827,0.39906102,0.34679967,0.47285724,0.014129235266094801,0.004038788858090614,0.0028323380119445463,0.49222797,0.1882353,0.41639617,0.0020177364,0.07987701,18.370293,5.7145715,-11,0.3802787827812744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.04963269553559,48.749189933663516]}"
00000000000000000001_0,61.0,0.1058,0.0011,0.1403,0.0584,0.0788,0.0771,0.0433,0.0876,0.2631,0.3254,0.3446,0.1131,86.0,178.0,59.0,-12.28252662435819,-5.641837246915859,-0.49955001939088106,-0.4703999934718013,159,-0.31964076,1085.9764,0.7432899089732616,0.511810027267666,0.5021097,0.2259036,0.705121,0.021268914643855386,0.0013508197407454126,0.002586800839687875,0.6372549,0.5632184,0.74058574,0.063746095,0.13927782,99.07688,24.868664,-39,1.9807520065405404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.03957156435345,48.37171785127649]}"
00000000000000000002_0,51.0,0.1066,0.0014,0.1489,0.06555,0.08,0.0752,0.04645,0.0861,0.2184,0.2629,0.2526,0.0929,48.0,107.5,33.0,-14.862544737604363,-7.498320879029619,-0.5382125154137611,-0.3506375290453434,170,-2.7755797,954.61444,0.5533931265408073,0.36003568383621837,0.5302491,0.25415325,0.62875205,0.016685652521950128,1.750801069308472E-4,5.475592728813594E-4,0.6367615,0.5302491,0.6685749,0.10165304,0.07190389,100.7262,22.554205,8,1.8023452779111335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.06508371842244,48.81314998189283]}"
00000000000000000003_0,68.0,0.1077,8.0E-4,0.0061,0.0036,0.0785,0.0552,0.0303,0.0268,0.0269,0.0259,0.0219,0.0081,56.5,16.0,36.5,-27.16543805721825,-26.275894169942852,0.1810249980771914,0.17360000114422292,169,12.301316,390.61554,-0.0341491212450688,-0.01585422942270942,-0.3904762,0.32682928,0.71428573,0.029465629427136597,0.006637382234087941,0.008164869189352109,-0.3580247,-0.39759037,-0.18644068,0.12064648,0.8856209,0.022626847,0.0083163455,-33,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.14467445259544,48.24784017359641]}"
00000000000000000004_0,60.0,0.109,0.0011,0.1658,0.0784,0.0805,0.0727,0.0434,0.0898,0.2234,0.2679,0.3196,0.0849,67.0,171.0,45.0,-17.60742593353609,-12.565996529684531,-0.6679000146687031,-0.48544998466968536,200,3.2870524,645.80493,0.7072983002949405,0.47413773548261356,0.5833333,0.26042727,0.58509254,0.0044806401659314475,0.0016952014238029722,0.0035620078092172824,0.6563877,0.41121495,0.7672104,0.07119936,-0.04090623,37.053253,9.830542,-72,1.3464859943986354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.02609683509165,48.648309127256894]}"
00000000000000000007_0,64.0,0.1095,0.00115,0.18775,0.1083,0.0929,0.08325,0.0729,0.0954,0.15075,0.18015,0.18325,0.0697,66.0,71.0,58.0,-17.95216821497618,-11.643830476387249,-0.761637482792139,-0.28254998475313187,166,-1.2994587,650.48334,0.29859833559637633,0.18713452461691898,0.1007752,0.33145952,0.30017903,0.007129207063277206,4.080686230849423E-4,4.3657347985009975E-4,0.5595238,0.27131784,0.42549223,0.018036902,-0.11930945,46.49929,8.657147,-26,0.5395171619381213,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.96294527061805,48.77200714188015]}"
00000000000000000008_0,109.0,0.1219,0.0012,0.2245,0.1279,0.0992,0.0936,0.0762,0.1091,0.2457,0.2977,0.2962,0.0911,132.0,151.5,155.0,-21.66111806819218,-13.490360112474377,-0.9493750259280205,-0.4798250161111355,172,-2.1022704,489.93848,0.5448781655312275,0.35582012692789194,-0.01141925,0.30408925,0.44690934,0.07375381596663237,0.01051366726500693,0.004819847484521144,0.19622642,0.013157895,0.52916884,0.29375243,-0.1393079,18.679485,4.364523,-1,0.30007115799899714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.18321217828417,48.43747453007404]}"
00000000000000000009_0,131.0,0.1326,0.0014,0.2894,0.1938,0.122,0.1193,0.1392,0.1495,0.1824,0.2033,0.2117,0.0677,147.0,154.0,159.0,-23.73888142184861,-17.46605727702695,-1.2662750519812107,-0.37985002622008324,222,-3.0162103,699.631,0.16012899726747867,0.11043726135087661,-0.015974442,0.37293035,0.07692308,0.006668430909123454,0.0017303974956612254,0.0022500429917843116,0.49720672,-0.019354839,0.19966997,0.21797319,-0.24110672,98.93113,32.53665,9,0.5953464954859381,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.15455592072075,48.131418512774516]}"
0000000000000000000a_0,54.0,0.1143,0.0012,0.1613,0.0775,0.0834,0.0781,0.0517,0.094,0.2255,0.2643,0.2514,0.0905,68.0,124.5,47.0,-12.0437487891535,-4.7049372272747245,-0.6087750010192394,-0.35977498441934586,153,-3.7523026,961.3475,0.5333297767773417,0.34494955106933683,0.45189506,0.26735458,0.57161355,0.0028934541729703036,3.798185124654907E-4,6.885043019007053E-4,0.6430318,0.49127182,0.6621488,0.0866555,0.0012594458,112.1921,19.169512,-23,1.7589488732949838,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-117.84930838717693,48.74712380851004]}"
0000000000000000000c_0,65.0,0.112,0.001,0.1894,0.1044,0.082,0.0751,0.0525,0.1085,0.2096,0.2497,0.2538,0.0859,77.0,159.0,61.0,-15.615528436486068,-8.517919794322314,-0.8077500257641077,-0.4211500156670809,138,-2.2446141,890.54663,0.5276263656540381,0.34684247082153785,0.44545454,0.28339696,0.43904302,0.00982703023352633,0.004363035545453781,0.00396869533066134,0.5252525,0.37383178,0.65526146,-0.010249257,-0.14177078,26.601406,5.0996284,-2,0.7282363366263063,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.0030999638182,48.309284939030185]}"
