system:index,Presence,.geo
00000000000000000000,0,"{""type"":""Point"",""coordinates"":[-118.04965714668818,48.74919361241392]}"
00000000000000000001,0,"{""type"":""Point"",""coordinates"":[-118.03961079201477,48.371730708239724]}"
00000000000000000002,0,"{""type"":""Point"",""coordinates"":[-118.06509455453521,48.81312374421717]}"
00000000000000000003,0,"{""type"":""Point"",""coordinates"":[-118.14463154002556,48.24785242187394]}"
00000000000000000004,0,"{""type"":""Point"",""coordinates"":[-118.02609079762072,48.648346582989184]}"
00000000000000000005,0,"{""type"":""Point"",""coordinates"":[-118.30167662002685,48.13188903987803]}"
00000000000000000006,0,"{""type"":""Point"",""coordinates"":[-118.24451094452166,48.31799408144465]}"
00000000000000000007,0,"{""type"":""Point"",""coordinates"":[-117.96295884490604,48.7720108325044]}"
00000000000000000008,0,"{""type"":""Point"",""coordinates"":[-118.18323843694628,48.437453398666456]}"
00000000000000000009,0,"{""type"":""Point"",""coordinates"":[-118.15453520346524,48.131416375166374]}"
0000000000000000000a,0,"{""type"":""Point"",""coordinates"":[-117.8492696044474,48.747102294019854]}"
0000000000000000000b,0,"{""type"":""Point"",""coordinates"":[-118.3117363520034,48.06073962346925]}"
0000000000000000000c,0,"{""type"":""Point"",""coordinates"":[-118.0031442635997,48.30927653888517]}"
0000000000000000000d,0,"{""type"":""Point"",""coordinates"":[-118.15114182756355,48.63194155021356]}"
0000000000000000000e,0,"{""type"":""Point"",""coordinates"":[-117.99735189133126,48.79577784111926]}"
0000000000000000000f,0,"{""type"":""Point"",""coordinates"":[-118.74187907602301,47.94803138524235]}"
00000000000000000010,0,"{""type"":""Point"",""coordinates"":[-118.21763148337149,48.240900683331624]}"
00000000000000000011,0,"{""type"":""Point"",""coordinates"":[-118.07335726878725,48.66462676093532]}"
00000000000000000012,0,"{""type"":""Point"",""coordinates"":[-118.1947206221589,48.32974827182153]}"
00000000000000000013,0,"{""type"":""Point"",""coordinates"":[-118.96982832187517,47.9293299154242]}"
00000000000000000014,0,"{""type"":""Point"",""coordinates"":[-118.26058600381934,47.81909201918092]}"
00000000000000000015,0,"{""type"":""Point"",""coordinates"":[-117.852239365749,48.70949423573509]}"
00000000000000000016,0,"{""type"":""Point"",""coordinates"":[-118.35356271988476,47.91488242801104]}"
00000000000000000017,0,"{""type"":""Point"",""coordinates"":[-118.04165306029725,48.253881126498214]}"
00000000000000000018,0,"{""type"":""Point"",""coordinates"":[-118.79735475222893,47.90356968863844]}"
00000000000000000019,0,"{""type"":""Point"",""coordinates"":[-118.27748599681189,47.89921760601028]}"
0000000000000000001a,0,"{""type"":""Point"",""coordinates"":[-117.86179521930652,48.82182790947349]}"
0000000000000000001b,0,"{""type"":""Point"",""coordinates"":[-118.48310852368945,47.8242467399987]}"
0000000000000000001c,0,"{""type"":""Point"",""coordinates"":[-118.20959618327319,48.280412777766216]}"
