system:index,B,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,G,N,R,VH,VV,awei_nsh,awei_sh,constant,cti,elevation,evi,msavi2,naip_NDVI,nbi,nbr,nbr_max_var,nbr_var_median,nbr_var_pct,nd_max,nd_median,ndvi,ndvi_diff,ndwi,roughness,slope,tpi,tri,.geo
00000000000000000000_0,55.0,0.0987,9.0E-4,0.0648,0.0224,0.0707,0.0563,0.0296,0.0591,0.1919,0.2367,0.2389,0.0798,49.0,89.0,32.0,-15.364527951496033,-9.066080889117035,-0.15532500855624676,-0.2497000154107809,156,-1.1405298,863.26685,0.5904090255132672,0.38200617429320755,0.47107437,0.28097063,0.8444597,0.013101940726283227,8.756749152860621E-5,2.347222938285931E-4,0.57894737,0.52112675,0.75578946,0.011888981,0.4389562,21.291721,3.7203948,-11,0.23448074143427933,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.71269292958976,46.18036754719533]}"
00000000000000000001_0,62.0,0.105,0.0012,0.1533,0.0814,0.0805,0.0713,0.0569,0.0858,0.1815,0.2134,0.205,0.0766,62.0,100.0,46.0,-14.84561770341955,-8.796675950368904,-0.6031000073999166,-0.29905000142753124,177,-2.4322884,952.72095,0.39277568771639526,0.2568649764504912,0.369863,0.31672257,0.47713265,0.013047720671116703,0.00590314233525735,0.004373472768439024,0.5168539,0.369863,0.5589537,-0.025006473,-0.062460568,33.29027,5.5798388,-65,2.2843297556335784,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.9831710873563,46.450311290073245]}"
00000000000000000002_0,93.0,0.134,0.0014,0.2806,0.1994,0.1194,0.1179,0.1379,0.1542,0.1902,0.2112,0.209,0.085,115.5,133.0,135.0,-20.121990774953524,-12.006723244550665,-1.2514000311493874,-0.370100025087595,155,-2.8560169,727.1878,0.15579808476579196,0.10859931842442605,-0.0074626864,0.37153518,0.09438944,0.004919444855864548,0.0012411720228537974,0.00153275891987191,0.11934157,0.0,0.19373988,0.23254229,-0.24629693,65.366425,12.195234,9,0.6179731200568025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.57237150792844,46.06520352777121]}"
00000000000000000003_0,50.0,0.0968,0.001,0.0889,0.0402,0.0681,0.0591,0.0334,0.0672,0.1885,0.2345,0.2438,0.0886,47.0,90.0,31.0,-16.097185982905636,-11.792352920543426,-0.29070000257343054,-0.293250004760921,149,-0.99645764,1280.3704,0.5635009856823899,0.3798790757846324,0.4876033,0.26400995,0.73002017,0.03867817432976728,1.1670764487714536E-4,1.1346875134665702E-4,0.6923077,0.5375,0.73555166,0.018586934,0.20238096,53.41301,18.152895,-8,1.3044571862634795,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.03563269994888,46.45192825758466]}"
00000000000000000004_0,64.0,0.1023,8.0E-4,0.0909,0.0374,0.078,0.0669,0.043,0.062,0.1784,0.2289,0.262,0.0782,62.0,142.0,41.0,-15.514985855128376,-10.977886446960087,-0.2643499840050936,-0.29344998486340046,176,-0.20836388,631.02527,0.5855614842654753,0.38431758093210977,0.55191255,0.2879191,0.7471873,0.020479211633407334,2.1444406851722775E-4,2.1664814619404282E-4,0.6315789,0.5,0.717137,-0.026154399,0.28648648,9.903086,1.1678978,-8,0.15801161804108932,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.55638607015297,45.98219919551856]}"
00000000000000000005_0,111.0,0.1246,0.0015,0.3006,0.1909,0.11125,0.1079,0.13525,0.15265,0.18035,0.20715,0.21225,0.0937,123.0,135.5,136.5,-20.81628300252864,-14.704035940472643,-1.3488374575972557,-0.4359999783337116,218,-2.5986571,727.8493,0.16184969164666693,0.1178594912544183,-0.0036764706,0.3910835,0.122780025,0.011828106016730181,0.003997281214403011,0.005020828921705971,0.63849765,-0.003533569,0.20234045,0.19943868,-0.27707124,44.805782,16.678213,10,0.7457664882417531,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.12762018504272,45.716747029061246]}"
00000000000000000006_0,54.0,0.0933,0.0012,0.0539,0.0202,0.0668,0.0516,0.0294,0.04825,0.12525,0.15545,0.15645,0.06855,51.0,81.5,39.0,-16.254195463607573,-9.965676492804516,-0.10386249050498009,-0.12477500177919865,147,-1.2789397,1265.9435,0.3818296574919765,0.23594245188240232,0.3526971,0.30175912,0.78231287,0.028291528619359182,8.852189233410357E-5,0.002046334814619133,0.5,0.32291666,0.66146016,0.087284744,0.4325364,54.966316,17.73619,-1,0.13282572696008288,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62214274895051,46.20848481558827]}"
00000000000000000007_0,79.0,0.1115,0.0014,0.1438,0.0805,0.0818,0.0743,0.0628,0.0826,0.1598,0.1921,0.195,0.0802,93.0,131.5,78.5,-16.448654261955518,-11.463050172883989,-0.548125023022294,-0.260775001719594,113,-3.2343297,1077.5544,0.34488155329905423,0.22742646962512592,0.25238097,0.3211512,0.4476429,0.011095609619817393,2.970321263893183E-4,5.128394982477635E-4,0.44352618,0.25,0.4913958,0.12218639,-0.037483267,72.477196,21.276236,51,1.1573129424124686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.93475189354226,46.48507609156867]}"
00000000000000000008_0,132.0,0.14585,0.00155,0.3359,0.22075,0.1287,0.13145,0.16595,0.19575,0.2287,0.2547,0.25825,0.0924,158.0,171.0,174.0,-26.25102798061617,-18.63294451597121,-1.4894250556826591,-0.4890875145792961,176,2.903137,487.92892,0.17905641236655795,0.1334755876096294,-0.008695652,0.3830087,0.14532512,0.026223899820465465,0.008277669497609053,0.005888598482328481,0.08626198,0.0058479533,0.19631301,0.43191874,-0.24565437,5.3239026,0.25292882,-2,0.22712956516451097,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.90367018471171,45.7359709761414]}"
00000000000000000009_0,67.0,0.1148,0.0013,0.1903,0.1131,0.092,0.0841,0.0781,0.1014,0.1733,0.1994,0.2005,0.0969,74.0,90.0,77.0,-19.384291002311905,-11.162743311219042,-0.785950006917119,-0.3122249972075224,174,-1.5146154,1233.6819,0.31253189501542356,0.2046166849917359,0.077844314,0.3383163,0.32402378,0.010359999321349374,3.6499348742756454E-4,3.3903654638976766E-4,0.4491018,0.24255319,0.43446776,0.0072565675,-0.13543092,6.5731235,2.2749279,25,0.3386304841052057,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.79883679105497,46.106975188482764]}"
0000000000000000000a_0,105.0,0.1301,0.0014,0.2529,0.1879,0.1199,0.1157,0.137,0.1369,0.1619,0.1783,0.1857,0.078,122.0,120.0,137.0,-21.690943729880384,-13.38040729103145,-1.1119500398635864,-0.2957250066101551,173,-2.0545828,945.60034,0.10983807863319436,0.07513920837678434,-0.06614786,0.37895867,0.03254593,0.004529891523923349,5.266411789069442E-4,5.62348442006297E-4,0.26605505,-0.05785124,0.15194954,0.13056818,-0.23997606,20.193466,2.3346798,0,0.14545135848606178,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.69669834325057,46.09493776367557]}"
0000000000000000000b_0,39.0,0.0947,0.0012,0.1379,0.0744,0.068,0.0601,0.0382,0.0802,0.1742,0.2075,0.1876,0.0991,49.0,90.0,31.0,-14.702344425714244,-8.49196881992151,-0.5626999791711569,-0.28859999030828476,159,-2.9270463,1769.6279,0.4118879827019006,0.2704744141066437,0.4876033,0.27720988,0.5016745,0.033551012066442065,9.130508087125122E-4,0.003631578159575488,0.7480315,0.4854369,0.638802,-0.49257123,-0.07037897,41.30159,10.15874,68,0.4708279595285827,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.28922710465582,46.39820900359432]}"
