system:index,Presence,.geo
00000000000000000000,0,"{""type"":""Point"",""coordinates"":[-121.71265259355711,46.18033225013007]}"
00000000000000000001,0,"{""type"":""Point"",""coordinates"":[-120.98314812031441,46.45027285060252]}"
00000000000000000002,0,"{""type"":""Point"",""coordinates"":[-120.57235789486676,46.06524285194064]}"
00000000000000000003,0,"{""type"":""Point"",""coordinates"":[-121.03567187162292,46.45190934068914]}"
00000000000000000004,0,"{""type"":""Point"",""coordinates"":[-121.55642798814965,45.98222330852758]}"
00000000000000000005,0,"{""type"":""Point"",""coordinates"":[-121.12766312635554,45.71674626820963]}"
00000000000000000006,0,"{""type"":""Point"",""coordinates"":[-121.62214176037425,46.2084513413731]}"
00000000000000000007,0,"{""type"":""Point"",""coordinates"":[-120.93470890557083,46.485036002415185]}"
00000000000000000008,0,"{""type"":""Point"",""coordinates"":[-120.90371369414834,45.7360095847605]}"
00000000000000000009,0,"{""type"":""Point"",""coordinates"":[-120.79886239197758,46.1069309876893]}"
0000000000000000000a,0,"{""type"":""Point"",""coordinates"":[-120.69667763223683,46.094944924057636]}"
0000000000000000000b,0,"{""type"":""Point"",""coordinates"":[-121.2891851438145,46.39819946850037]}"
0000000000000000000c,0,"{""type"":""Point"",""coordinates"":[-121.29749244907707,45.83753885664642]}"
0000000000000000000d,0,"{""type"":""Point"",""coordinates"":[-121.65447470211278,46.129181901945984]}"
0000000000000000000e,0,"{""type"":""Point"",""coordinates"":[-121.38391874569497,46.38655229654878]}"
0000000000000000000f,0,"{""type"":""Point"",""coordinates"":[-120.857214188363,45.93225016302161]}"
00000000000000000010,0,"{""type"":""Point"",""coordinates"":[-121.1732886483344,46.614786924868355]}"
00000000000000000011,0,"{""type"":""Point"",""coordinates"":[-120.94096502434881,46.34245624623126]}"
00000000000000000012,0,"{""type"":""Point"",""coordinates"":[-121.58608546925612,46.62114560297057]}"
00000000000000000013,0,"{""type"":""Point"",""coordinates"":[-121.28166264033736,46.303572885045206]}"
00000000000000000014,0,"{""type"":""Point"",""coordinates"":[-120.94601718584236,45.8428853188095]}"
00000000000000000015,0,"{""type"":""Point"",""coordinates"":[-121.10196978608562,46.56925950311268]}"
00000000000000000016,0,"{""type"":""Point"",""coordinates"":[-121.42655666996802,46.059530743491166]}"
00000000000000000017,0,"{""type"":""Point"",""coordinates"":[-121.2804988149624,45.8890816057232]}"
00000000000000000018,0,"{""type"":""Point"",""coordinates"":[-120.99020687728199,46.37206021812508]}"
00000000000000000019,0,"{""type"":""Point"",""coordinates"":[-120.88739338429272,46.32432108224689]}"
0000000000000000001a,0,"{""type"":""Point"",""coordinates"":[-120.57234451756358,46.120192354222254]}"
0000000000000000001b,0,"{""type"":""Point"",""coordinates"":[-121.22469316527851,46.06943886603192]}"
0000000000000000001c,0,"{""type"":""Point"",""coordinates"":[-121.6055494453544,46.00166053001956]}"
0000000000000000001d,0,"{""type"":""Point"",""coordinates"":[-121.42542851740149,46.53573152229181]}"
0000000000000000001e,0,"{""type"":""Point"",""coordinates"":[-121.68612094228914,46.535241021175935]}"
0000000000000000001f,0,"{""type"":""Point"",""coordinates"":[-121.61745078606606,46.0089645375451]}"
00000000000000000020,0,"{""type"":""Point"",""coordinates"":[-120.9056801577129,46.365206579805935]}"
00000000000000000021,0,"{""type"":""Point"",""coordinates"":[-121.09427783676838,46.42858378307857]}"
00000000000000000022,0,"{""type"":""Point"",""coordinates"":[-120.9132115793922,46.23900956089236]}"
00000000000000000023,0,"{""type"":""Point"",""coordinates"":[-121.39339433543353,46.5831451437931]}"
00000000000000000024,0,"{""type"":""Point"",""coordinates"":[-121.35741384903328,46.44971546297084]}"
00000000000000000025,0,"{""type"":""Point"",""coordinates"":[-121.49486117990473,46.50975279955443]}"
00000000000000000026,0,"{""type"":""Point"",""coordinates"":[-121.51921678985862,46.652947911683746]}"
00000000000000000027,0,"{""type"":""Point"",""coordinates"":[-120.86957481648315,46.176484045920944]}"
00000000000000000028,0,"{""type"":""Point"",""coordinates"":[-121.11334941197397,46.63902659819489]}"
00000000000000000029,0,"{""type"":""Point"",""coordinates"":[-121.34744775817883,45.8447536821509]}"
0000000000000000002a,0,"{""type"":""Point"",""coordinates"":[-120.66117872875034,46.21781991268639]}"
0000000000000000002b,0,"{""type"":""Point"",""coordinates"":[-121.13917206617447,46.60810719149029]}"
0000000000000000002c,0,"{""type"":""Point"",""coordinates"":[-121.45392663223404,46.242648187351975]}"
0000000000000000002d,0,"{""type"":""Point"",""coordinates"":[-120.9282833409528,46.54480133383451]}"
0000000000000000002e,0,"{""type"":""Point"",""coordinates"":[-121.33971121785112,46.26046675516155]}"
0000000000000000002f,0,"{""type"":""Point"",""coordinates"":[-120.93845455045573,46.67501600279725]}"
00000000000000000030,0,"{""type"":""Point"",""coordinates"":[-120.73793769428438,46.24478855585763]}"
00000000000000000031,0,"{""type"":""Point"",""coordinates"":[-121.63848882483619,46.46671801528763]}"
00000000000000000032,0,"{""type"":""Point"",""coordinates"":[-121.48492630275763,46.55592679096287]}"
00000000000000000033,0,"{""type"":""Point"",""coordinates"":[-121.24941888061987,46.486596687783894]}"
00000000000000000034,0,"{""type"":""Point"",""coordinates"":[-120.95387412189856,45.955370601983724]}"
00000000000000000035,0,"{""type"":""Point"",""coordinates"":[-120.90579609434027,46.32115066139789]}"
00000000000000000036,0,"{""type"":""Point"",""coordinates"":[-121.47665021120243,46.63919158493387]}"
00000000000000000037,0,"{""type"":""Point"",""coordinates"":[-120.67249592722399,46.07851313667569]}"
00000000000000000038,0,"{""type"":""Point"",""coordinates"":[-121.50467120222231,46.315576785081085]}"
00000000000000000039,0,"{""type"":""Point"",""coordinates"":[-121.14486633821973,45.93820752202901]}"
0000000000000000003a,0,"{""type"":""Point"",""coordinates"":[-120.83422752243249,46.33569624903423]}"
0000000000000000003b,0,"{""type"":""Point"",""coordinates"":[-121.64580175056383,46.31300388377324]}"
0000000000000000003c,0,"{""type"":""Point"",""coordinates"":[-120.76236464985516,45.94238569971609]}"
0000000000000000003d,0,"{""type"":""Point"",""coordinates"":[-120.99402386778377,45.77882141397465]}"
0000000000000000003f,0,"{""type"":""Point"",""coordinates"":[-121.66841831110692,46.47089173387366]}"
00000000000000000040,0,"{""type"":""Point"",""coordinates"":[-121.45581729108075,45.879048628352955]}"
00000000000000000041,0,"{""type"":""Point"",""coordinates"":[-121.46377232736008,46.14896693332014]}"
00000000000000000042,0,"{""type"":""Point"",""coordinates"":[-120.99220455455395,46.634259819168754]}"
00000000000000000043,0,"{""type"":""Point"",""coordinates"":[-120.8975378391893,46.37209589093351]}"
00000000000000000044,0,"{""type"":""Point"",""coordinates"":[-121.40851068800471,46.23749346653418]}"
00000000000000000045,0,"{""type"":""Point"",""coordinates"":[-121.52208399183601,46.64259833813871]}"
00000000000000000046,0,"{""type"":""Point"",""coordinates"":[-120.61043415876216,46.23554483937384]}"
00000000000000000047,0,"{""type"":""Point"",""coordinates"":[-121.0820153088714,45.944441345301726]}"
00000000000000000048,0,"{""type"":""Point"",""coordinates"":[-121.01310882029252,45.98292784649402]}"
00000000000000000049,0,"{""type"":""Point"",""coordinates"":[-121.12133120285964,46.09787455344975]}"
0000000000000000004a,0,"{""type"":""Point"",""coordinates"":[-121.00695080173772,46.00389008054627]}"
0000000000000000004b,0,"{""type"":""Point"",""coordinates"":[-121.2894928217872,46.01269234602577]}"
0000000000000000004c,0,"{""type"":""Point"",""coordinates"":[-121.24693070223206,46.09022273604204]}"
0000000000000000004d,0,"{""type"":""Point"",""coordinates"":[-121.2581542595836,46.17159687116638]}"
0000000000000000004e,0,"{""type"":""Point"",""coordinates"":[-121.73603611948137,46.16558600294633]}"
0000000000000000004f,0,"{""type"":""Point"",""coordinates"":[-121.58097533944888,46.60645732410051]}"
00000000000000000050,0,"{""type"":""Point"",""coordinates"":[-120.776036253685,46.12087905578447]}"
