system:index,Presence,layer,path,.geo
00000000000000000001,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.77600503997763,48.882627752337235]}"
00000000000000000002,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.61670811394436,48.960033287524006]}"
00000000000000000003,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-121.0559919951235,48.86570100473836]}"
00000000000000000004,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.83941791605868,48.83184305043954]}"
00000000000000000005,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.95175158979711,48.833706954679876]}"
00000000000000000006,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.68632359959072,48.857607736326344]}"
00000000000000000007,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.68518206972108,48.93778683236836]}"
00000000000000000008,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.95947921192271,48.9565953206118]}"
00000000000000000009,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-121.06568608081369,48.99013221963476]}"
0000000000000000000a,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.66899107379598,48.99085459400542]}"
0000000000000000000b,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.67014598096883,48.85913720798768]}"
0000000000000000000c,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.89146008445346,48.882016855492914]}"
0000000000000000000d,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.75003523544237,48.90394671447376]}"
0000000000000000000e,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.9511183974475,48.98524058577913]}"
0000000000000000000f,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.62725388793574,48.91462180239571]}"
00000000000000000010,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.85807033576528,48.91005122381592]}"
00000000000000000011,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.81134787492726,48.97777159151462]}"
00000000000000000012,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.93163212584393,48.96131750862739]}"
00000000000000000013,0,ncasc2_random,/Volumes/Meddens/ArcGIS Projects/Rocky Habitat/Northern Cascades/ncasc2_random.shp,"{""type"":""Point"",""coordinates"":[-120.74401098991918,48.939525881779204]}"
