system:index,B,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,G,N,R,VH,VV,awei_nsh,awei_sh,constant,cti,elevation,evi,msavi2,naip_NDVI,nbi,nbr,nbr_max_var,nbr_var_median,nbr_var_pct,nd_max,nd_median,ndvi,ndvi_diff,ndwi,roughness,slope,tpi,tri,.geo
00000000000000000000_0,90.0,0.13905,0.0014,0.301,0.1744,0.1179,0.11445,0.1055,0.1598,0.27905,0.3308,0.33085,0.11075,126.0,185.0,113.0,-23.60942946604226,-15.482784217183301,-1.3085125014185905,-0.5873500071465969,170,0.31382972,409.86133,0.52183680911039,0.3413485074730153,0.24161074,0.32248038,0.35669774,0.0343368096249634,0.01215801256363569,0.010190513301685689,0.30656934,0.2147651,0.5074815,-0.25608137,-0.20715691,5.4406633,1.1368809,3,0.3029010164475053,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.98604112198363,47.09655930546883]}"
00000000000000000001_0,66.0,0.1565,0.0012,0.1534,0.1128,0.1131,0.1036,0.0967,0.1215,0.18015,0.212,0.1891,0.0732,66.5,169.0,52.0,-17.094994333951018,-9.846897087466694,-0.5566750094294548,-0.16984999552369118,168,-0.16945006,229.24754,0.25080071901723777,0.15052891817041336,0.5294118,0.33886406,0.3325017,0.003339309878111035,0.0010500662845813746,8.980958976336217E-4,0.5294118,0.057793345,0.3292683,-0.12745449,-0.045946512,7.654998,2.0513473,-2,0.42836421091757954,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.33665357737547,47.4368411350933]}"
00000000000000000002_0,135.5,0.1512,0.0014,0.2721,0.2155,0.138,0.1335,0.1603,0.1633,0.1764,0.1927,0.1892,0.0646,152.5,137.0,166.5,-27.56651012412999,-15.191173571331165,-1.1943250186741352,-0.2740750163793564,179,-1.1851355,305.76672,0.06474013574036126,0.04329238666376811,-0.09719934,0.3816582,-0.024963994,0.009694931446893993,0.0019742033049387933,0.002452055677677057,-0.06709265,-0.098497495,0.08204846,0.049966395,-0.24331772,14.349568,2.0639522,13,0.5893026448118969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.99816837831924,46.87224997902418]}"
00000000000000000003_0,130.0,0.1493,0.0014,0.28495,0.22015,0.13805,0.13315,0.152,0.1559,0.16845,0.18325,0.18765,0.06365,144.0,139.0,151.0,-26.045875430906786,-13.77060301775616,-1.2595249488949776,-0.29301247745752335,175,-2.2752142,409.4325,0.0837424592772215,0.053960389845597034,-0.04137931,0.3707467,-0.04892819,0.0020767401358541097,0.0012141105761150454,9.936441400482882E-4,-0.030303031,-0.04195804,0.11386526,0.071766354,-0.27058744,17.476938,1.8153718,60,0.35094253306325707,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01927878749605,47.13231225377679]}"
00000000000000000004_0,84.0,0.14195,0.0014,0.27385,0.17615,0.11705,0.1132,0.12755,0.1557,0.19535,0.2256,0.22095,0.07015,95.0,116.0,99.0,-22.160104990098468,-17.40135722398659,-1.1822499558329582,-0.38618749752640724,142,0.09633021,465.62015,0.21066876647271876,0.14391542426877235,0.07906977,0.36724427,0.17651024,0.002444365017499206,0.001405995459776474,0.0015432121040975452,0.297561,-0.04568528,0.2720572,0.12325591,-0.22373116,43.578213,8.33578,-41,0.9705056664309688,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.20819449174638,47.345302807641524]}"
00000000000000000005_0,114.5,0.13995,0.00135,0.24265,0.22245,0.11915,0.10765,0.11725,0.13555,0.14515,0.1573,0.1373,0.04925,123.5,135.5,140.5,-26.640852436615038,-16.786620358650033,-1.186062529683113,-0.2372625134885311,172,3.1060708,288.25073,0.05292051618561343,0.03227826764180375,-0.018115941,0.37421888,-0.13938309,0.005918285968923868,0.003194403560964079,0.0029835213599541093,-0.014084507,-0.025830258,0.07669912,0.11309343,-0.35160577,46.067543,4.6582456,-15,0.9762349526196509,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.9934073073134,47.234001543939115]}"
00000000000000000006_0,127.0,0.14415,0.0016,0.3408,0.2469,0.13455,0.13635,0.1726,0.18715,0.2101,0.2338,0.23185,0.10145,150.0,147.0,162.0,-24.280542993631897,-14.59085376522413,-1.5547374449670315,-0.4452749602496624,188,-1.8149703,936.9872,0.11771600887628798,0.08601377624157835,-0.048543688,0.38511837,0.040390246,0.019655685455010306,0.011296563733510732,0.012282910889320112,-0.01607717,-0.048231512,0.14810346,0.14666328,-0.29022583,36.44809,6.935447,-3,0.4189193043216236,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.224903156031,47.30685491348121]}"
00000000000000000007_0,141.0,0.17235,0.0013,0.2442,0.1777,0.15635,0.1459,0.15125,0.1662,0.26,0.29565,0.26045,0.0814,145.0,120.0,144.0,-24.856195728939365,-14.074074840218637,-0.9469875358045101,-0.2803000248968601,174,-2.1375034,251.6116,0.2742822656169185,0.16054650546926597,-0.09090909,0.3565601,0.28359002,0.005671498958285868,9.676455928020467E-4,8.4155772589245E-4,0.4618474,-0.08064516,0.24870203,-0.05276841,-0.09861543,14.230625,7.002754,2,0.7741355281970306,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.28086819823166,47.40818487752989]}"
00000000000000000008_0,113.5,0.1325,0.0011,0.2148,0.1326,0.1266,0.1212,0.12765,0.13435,0.21075,0.25055,0.2454,0.0503,131.5,157.0,146.0,-15.43049919632818,-8.7469562596943,-0.800399973988533,-0.29384998977184296,172,-0.34166312,192.61525,0.27724149298467965,0.17960750188376207,0.036303632,0.35437474,0.34469894,0.008316082012614245,0.0021198459704925288,0.002928275413153811,0.50329673,0.22012578,0.305025,0.04213667,-0.063068785,12.388493,11.886272,-6,0.23175078340379868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.31293805387472,47.456963397457585]}"
00000000000000000009_0,108.0,0.1567,0.0014,0.24665,0.2224,0.14165,0.1334,0.15035,0.16185,0.1743,0.18815,0.18045,0.0647,112.0,95.0,122.0,-23.48743622555964,-14.358970600958262,-1.1097124963998795,-0.22110001370310783,151,-1.890117,367.64505,0.07376186254884214,0.045775124650134,-0.124423966,0.37282562,-0.04730798,0.008401916823751694,0.0034576104448617835,0.00513404416430603,-0.04761905,-0.116883114,0.08280911,0.040649414,-0.25648823,36.657917,29.292288,7,0.18325536556329985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.02107541806429,46.99406153155079]}"
0000000000000000000b_0,112.0,0.13905,0.0012,0.235,0.17715,0.12725,0.11935,0.1346,0.13825,0.1531,0.16515,0.162,0.05015,122.0,123.0,139.0,-23.587253703908306,-14.569076557074021,-0.9902624823153019,-0.21416249498724937,187,-1.8347338,282.10263,0.06747273330379154,0.04277145069548316,-0.061068702,0.3738195,0.004076458,0.0035120208853450983,0.0013225857897365845,0.0010964570938017564,-0.004405286,-0.0625,0.10881558,0.07483591,-0.21925396,86.942276,9.564599,12,0.5115745427417965,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.02296188016093,47.086228679701456]}"
0000000000000000000d_0,106.0,0.1521,0.0014,0.26045,0.1849,0.13955,0.1371,0.1624,0.1749,0.1946,0.21295,0.2014,0.0614,118.0,101.0,129.0,-23.251934041215577,-13.825858477913219,-1.052225038409233,-0.25670001283288,185,0.9860478,247.98935,0.08634620042473207,0.058001227557817114,-0.12173913,0.37546977,0.11461381,0.005670819750015341,0.0030328667603130473,0.00348907226059949,-0.047272727,-0.08661418,0.10973777,0.04964657,-0.15512042,30.47857,9.710459,0,0.4333969592789202,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.08368799336742,47.25556111075799]}"
0000000000000000000e_0,109.0,0.142,0.0014,0.265,0.18655,0.1299,0.12635,0.1461,0.1583,0.181,0.1949,0.19565,0.05665,116.0,97.0,128.0,-17.36605455535803,-7.809127772394109,-1.1165249571204185,-0.2918374799191952,146,-2.8631918,384.25015,0.11281874988884352,0.07530418656039739,-0.13777778,0.37193984,0.06383296,0.0027183551894079568,5.311377123126608E-4,4.6531185019752245E-4,-0.01992032,-0.06270627,0.14068495,0.114971414,-0.20476823,91.652016,16.613098,10,2.335994770024488,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.10695435922611,47.27173078587214]}"
