system:index,Presence,.geo
00000000000000000000,0,"{""type"":""Point"",""coordinates"":[-119.98607974746074,47.09660171189529]}"
00000000000000000001,0,"{""type"":""Point"",""coordinates"":[-120.3366899450911,47.43684004047532]}"
00000000000000000002,0,"{""type"":""Point"",""coordinates"":[-119.99813715670926,46.872228665087995]}"
00000000000000000003,0,"{""type"":""Point"",""coordinates"":[-120.01928221390469,47.13235032504076]}"
00000000000000000004,0,"{""type"":""Point"",""coordinates"":[-120.20823662104448,47.345272400342814]}"
00000000000000000005,0,"{""type"":""Point"",""coordinates"":[-119.99341050959261,47.23399999265511]}"
00000000000000000006,0,"{""type"":""Point"",""coordinates"":[-120.2249091998833,47.30688845847474]}"
00000000000000000007,0,"{""type"":""Point"",""coordinates"":[-120.28090659091248,47.4081635616006]}"
00000000000000000008,0,"{""type"":""Point"",""coordinates"":[-120.31294969108255,47.45694166802424]}"
00000000000000000009,0,"{""type"":""Point"",""coordinates"":[-120.02107031342712,46.994046846767084]}"
0000000000000000000b,0,"{""type"":""Point"",""coordinates"":[-120.02294313586961,47.08625213835025]}"
0000000000000000000d,0,"{""type"":""Point"",""coordinates"":[-120.08371622412702,47.25554636894537]}"
0000000000000000000e,0,"{""type"":""Point"",""coordinates"":[-120.10691692690806,47.271710610264115]}"
0000000000000000000f,0,"{""type"":""Point"",""coordinates"":[-119.95464754413504,46.720454242531865]}"
00000000000000000010,0,"{""type"":""Point"",""coordinates"":[-120.28054540372716,47.43823128000398]}"
00000000000000000011,0,"{""type"":""Point"",""coordinates"":[-120.22097627275419,47.34336836419298]}"
00000000000000000012,0,"{""type"":""Point"",""coordinates"":[-120.02039253006701,47.01029135190478]}"
00000000000000000013,0,"{""type"":""Point"",""coordinates"":[-120.05364850572364,46.9279362145487]}"
00000000000000000014,0,"{""type"":""Point"",""coordinates"":[-119.91275874883894,46.81826908324026]}"
00000000000000000015,0,"{""type"":""Point"",""coordinates"":[-119.96303957231761,47.00018702891768]}"
00000000000000000016,0,"{""type"":""Point"",""coordinates"":[-119.995443859673,46.72163144520997]}"
00000000000000000017,0,"{""type"":""Point"",""coordinates"":[-119.99196130175028,47.001092226431524]}"
00000000000000000018,0,"{""type"":""Point"",""coordinates"":[-119.97279162632148,46.70948931304144]}"
00000000000000000019,0,"{""type"":""Point"",""coordinates"":[-120.20617205725674,47.27179979228518]}"
0000000000000000001a,0,"{""type"":""Point"",""coordinates"":[-120.09166680130532,47.07786902836976]}"
0000000000000000001b,0,"{""type"":""Point"",""coordinates"":[-119.95532086839411,46.66986574108052]}"
0000000000000000001c,0,"{""type"":""Point"",""coordinates"":[-119.96995117895045,46.75055317464262]}"
0000000000000000001d,0,"{""type"":""Point"",""coordinates"":[-120.04882821748487,46.93328713581283]}"
0000000000000000001e,0,"{""type"":""Point"",""coordinates"":[-119.98438528906044,46.68236014223228]}"
00000000000000000020,0,"{""type"":""Point"",""coordinates"":[-119.98910747707602,46.93981525975508]}"
00000000000000000021,0,"{""type"":""Point"",""coordinates"":[-120.00445570290199,46.912677170743805]}"
00000000000000000022,0,"{""type"":""Point"",""coordinates"":[-120.26914794143455,47.38774533787688]}"
00000000000000000023,0,"{""type"":""Point"",""coordinates"":[-120.02240804374318,46.68443808332318]}"
00000000000000000024,0,"{""type"":""Point"",""coordinates"":[-120.0198975698501,47.223480973270036]}"
00000000000000000025,0,"{""type"":""Point"",""coordinates"":[-119.98001537002804,46.89634348358503]}"
00000000000000000026,0,"{""type"":""Point"",""coordinates"":[-120.06131370043451,47.28783026057232]}"
00000000000000000027,0,"{""type"":""Point"",""coordinates"":[-120.00742992330464,46.93656903418817]}"
00000000000000000028,0,"{""type"":""Point"",""coordinates"":[-119.90121859531261,46.82379390944547]}"
00000000000000000029,0,"{""type"":""Point"",""coordinates"":[-120.11684288585305,47.20956857798328]}"
0000000000000000002b,0,"{""type"":""Point"",""coordinates"":[-120.21867983571165,47.32077409915517]}"
0000000000000000002c,0,"{""type"":""Point"",""coordinates"":[-119.98790351979163,46.90139118597754]}"
0000000000000000002d,0,"{""type"":""Point"",""coordinates"":[-119.97651051660006,46.674748456734044]}"
0000000000000000002e,0,"{""type"":""Point"",""coordinates"":[-120.11992858378204,47.23648371194189]}"
0000000000000000002f,0,"{""type"":""Point"",""coordinates"":[-120.15293039067859,47.27279863092115]}"
00000000000000000030,0,"{""type"":""Point"",""coordinates"":[-119.99346847790632,46.854347669863685]}"
00000000000000000031,0,"{""type"":""Point"",""coordinates"":[-120.1585800717133,47.2870365405848]}"
00000000000000000032,0,"{""type"":""Point"",""coordinates"":[-120.17878871768752,47.311793469633535]}"
00000000000000000033,0,"{""type"":""Point"",""coordinates"":[-120.07246591216915,47.13144066842586]}"
00000000000000000034,0,"{""type"":""Point"",""coordinates"":[-119.98711871800622,46.86347099061903]}"
00000000000000000035,0,"{""type"":""Point"",""coordinates"":[-120.00202995192895,47.0175418502177]}"
00000000000000000036,0,"{""type"":""Point"",""coordinates"":[-120.0608454948239,47.06531665890432]}"
00000000000000000037,0,"{""type"":""Point"",""coordinates"":[-120.0301624204751,47.12802499701892]}"
00000000000000000038,0,"{""type"":""Point"",""coordinates"":[-120.13289564964548,47.24615996122787]}"
00000000000000000039,0,"{""type"":""Point"",""coordinates"":[-120.0382289342808,46.92273690272039]}"
0000000000000000003a,0,"{""type"":""Point"",""coordinates"":[-120.01459569869753,46.77863659307722]}"
0000000000000000003b,0,"{""type"":""Point"",""coordinates"":[-120.14901529995366,47.321327027685804]}"
0000000000000000003c,0,"{""type"":""Point"",""coordinates"":[-120.07390620180941,47.14063087569701]}"
0000000000000000003d,0,"{""type"":""Point"",""coordinates"":[-119.95440229357708,46.73032669226419]}"
0000000000000000003e,0,"{""type"":""Point"",""coordinates"":[-120.06188446536933,47.16081276706491]}"
0000000000000000003f,0,"{""type"":""Point"",""coordinates"":[-120.0335379599726,47.22293696294152]}"
00000000000000000040,0,"{""type"":""Point"",""coordinates"":[-119.9609705494288,46.77175620015176]}"
00000000000000000041,0,"{""type"":""Point"",""coordinates"":[-120.23331906447012,47.321621328355334]}"
00000000000000000042,0,"{""type"":""Point"",""coordinates"":[-120.01964786019109,47.15488662176488]}"
00000000000000000043,0,"{""type"":""Point"",""coordinates"":[-120.0309204676542,46.99843906130473]}"
00000000000000000044,0,"{""type"":""Point"",""coordinates"":[-120.02171688307989,47.16422397937079]}"
00000000000000000045,0,"{""type"":""Point"",""coordinates"":[-120.15083015408244,47.27687870838506]}"
00000000000000000046,0,"{""type"":""Point"",""coordinates"":[-120.03867484438614,47.1274631502862]}"
00000000000000000047,0,"{""type"":""Point"",""coordinates"":[-120.02235007542947,46.95811541047841]}"
00000000000000000048,0,"{""type"":""Point"",""coordinates"":[-120.00606543838232,47.1604203661722]}"
0000000000000000004a,0,"{""type"":""Point"",""coordinates"":[-119.99417301587275,46.85800859182856]}"
0000000000000000004b,0,"{""type"":""Point"",""coordinates"":[-120.00701522690667,46.76357820881974]}"
0000000000000000004c,0,"{""type"":""Point"",""coordinates"":[-119.92233689790176,46.81048795190199]}"
0000000000000000004d,0,"{""type"":""Point"",""coordinates"":[-119.93460834400082,46.855917273434486]}"
0000000000000000004e,0,"{""type"":""Point"",""coordinates"":[-120.01575952407248,47.11263663928348]}"
0000000000000000004f,0,"{""type"":""Point"",""coordinates"":[-119.91113117695443,46.829546149804415]}"
00000000000000000050,0,"{""type"":""Point"",""coordinates"":[-119.96962566457353,46.91384991432086]}"
00000000000000000051,0,"{""type"":""Point"",""coordinates"":[-119.93292280380263,46.66081822504308]}"
00000000000000000053,0,"{""type"":""Point"",""coordinates"":[-120.00112921351617,46.89343169059713]}"
00000000000000000054,0,"{""type"":""Point"",""coordinates"":[-120.14430648924126,47.22075646252638]}"
00000000000000000055,0,"{""type"":""Point"",""coordinates"":[-119.99320539094415,47.031855564599255]}"
00000000000000000056,0,"{""type"":""Point"",""coordinates"":[-120.06460451701193,47.220323929724195]}"
00000000000000000057,0,"{""type"":""Point"",""coordinates"":[-119.97158766903704,47.01119654941864]}"
00000000000000000058,0,"{""type"":""Point"",""coordinates"":[-120.257839661163,47.403891742791394]}"
00000000000000000059,0,"{""type"":""Point"",""coordinates"":[-119.95710004971441,46.90093635767008]}"
0000000000000000005a,0,"{""type"":""Point"",""coordinates"":[-120.09708460908523,47.30212613854966]}"
0000000000000000005b,0,"{""type"":""Point"",""coordinates"":[-120.04059225783914,47.1323949160513]}"
0000000000000000005c,0,"{""type"":""Point"",""coordinates"":[-120.15623904366024,47.32591098356874]}"
0000000000000000005d,0,"{""type"":""Point"",""coordinates"":[-120.18630676206362,47.31199412918093]}"
0000000000000000005e,0,"{""type"":""Point"",""coordinates"":[-119.95269891697465,46.91947284074926]}"
0000000000000000005f,0,"{""type"":""Point"",""coordinates"":[-119.99625095696366,47.241763287589166]}"
00000000000000000060,0,"{""type"":""Point"",""coordinates"":[-119.98685117194299,47.021193853980456]}"
00000000000000000061,0,"{""type"":""Point"",""coordinates"":[-119.9073810729685,47.16198105154091]}"
