system:index,B,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,G,N,R,VH,VV,awei_nsh,awei_sh,constant,cti,elevation,evi,msavi2,naip_NDVI,nbi,nbr,nbr_max_var,nbr_var_median,nbr_var_pct,nd_max,nd_median,ndvi,ndvi_diff,ndwi,roughness,slope,tpi,tri,.geo
000000000000000009e2_0,130.0,0.1516,0.0016,0.34095,0.21515,0.1464,0.14595,0.18885,0.2025,0.2148,0.23475,0.22975,0.09105,149.0,174.0,163.0,-26.15122830898182,-16.465857662396033,-1.4291000291705132,-0.3985625132918358,173,-0.13718691,320.27823,0.08083964042355182,0.058381956686643144,0.03264095,0.39339152,0.08691717,0.008742651300463249,0.029846755213627688,0.029440289692297863,0.05637982,0.03550296,0.09436814,0.047048114,-0.19552334,28.045582,5.5491767,11,0.579298020076553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.88606320514297,45.62314257645599]}"
000000000000000009e3_0,138.0,0.1527,0.0016,0.3582,0.2159,0.16605,0.18875,0.28225,0.29105,0.3172,0.359,0.36485,0.11745,148.0,159.0,167.0,-26.693677033552007,-14.805971848971836,-1.3627375736832619,-0.5006250441074371,152,-2.1633728,308.0791,0.11390122707170769,0.10145922799246443,-0.024539877,0.40742484,0.30505365,0.02309550966188184,0.03640442643663436,0.034868063214445945,0.009009009,-0.017857144,0.13593523,0.58772194,-0.059718788,20.902258,9.874954,7,0.17746141662743709,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.84959160460772,45.62817314204706]}"
000000000000000009e4_0,121.0,0.14435,0.0015,0.3401,0.2084,0.133,0.13785,0.1887,0.18865,0.2062,0.2307,0.25235,0.0763,151.0,169.0,169.0,-26.134603531687578,-14.660604730478308,-1.445187445729971,-0.4631499834358692,181,-1.4851251,267.36243,0.11472188450369666,0.08998263310716725,0.0,0.40006527,0.11228888,0.0023881781315512425,0.0029151348492549517,0.0030522943880952665,0.029126214,-0.01010101,0.13856505,0.1241923,-0.20879932,12.667294,1.8311213,12,0.546658390360049,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.83988979953924,45.64883439358181]}"
000000000000000009e5_0,146.0,0.16315,0.0016,0.42815,0.2616,0.17155,0.20075,0.29475,0.31645,0.3497,0.38975,0.3832,0.13095,165.5,177.5,180.5,-22.91046852659739,-16.37712808860358,-1.724799983203411,-0.608999989926815,181,2.0649235,319.0289,0.11856089683583407,0.10657765403826636,-0.008379889,0.3980961,0.26260337,0.014329742665704514,0.03970546911521334,0.03697011578786859,0.0054644807,-0.008379889,0.13839418,0.3961298,-0.13653216,11.330833,12.623011,2,0.9839104157704885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.81446747699864,45.62889179427436]}"
000000000000000009e6_0,141.0,0.1526,0.0016,0.42615,0.2636,0.1716,0.2006,0.29885,0.3101,0.34025,0.38145,0.3829,0.12825,148.0,153.0,155.0,-25.622508817736158,-13.537308671329132,-1.7228249609470367,-0.6063749939203262,199,-2.726722,290.6897,0.11123610302546069,0.10097135204344276,-0.0064935065,0.402131,0.26159146,0.009532808513584635,0.036808815563183536,0.03568013840684936,0.009345794,-0.0064102565,0.14479195,0.33630252,-0.13713202,47.993877,8.5488615,15,0.6697940564705382,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.80647247097,45.6509903502637]}"
000000000000000009e7_0,146.0,0.1468,0.0015,0.3375,0.23845,0.13845,0.14495,0.19725,0.2157,0.23735,0.2657,0.2585,0.0925,160.0,164.0,178.0,-25.311247622674273,-12.672984635867149,-1.4905625320971012,-0.45278752222657204,181,2.9003854,282.35095,0.10909255720742775,0.08557933640985915,-0.040935673,0.3968584,0.13410565,0.011917043831402716,0.03615050190316575,0.03347456059335415,0.011764706,-0.034883723,0.14553544,0.24175921,-0.2419707,10.870936,1.2330506,2,0.39754503778472045,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.82138450468636,45.640929219081556]}"
000000000000000009e8_0,119.0,0.13825,0.0012,0.15215,0.1023,0.1089,0.0947,0.0966,0.1035,0.1185,0.13135,0.10925,0.04735,121.0,73.0,119.0,-23.923122636088742,-14.109055904282776,-0.5384375248104334,-0.07202500477433205,149,-1.5998653,61.563774,0.03626303772046304,0.021129632702292955,-0.23958333,0.36908728,0.1582776,0.0041625766313357305,5.71139348891244E-4,5.468080328308728E-4,0.2897196,-0.007633588,0.0531134,0.11058457,-0.023305813,47.188354,21.614069,-26,1.170042493420812,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.90492782610949,45.63526983279161]}"
000000000000000009e9_0,100.0,0.13935,0.001,0.0982,0.0738,0.10975,0.0933,0.09185,0.09455,0.1006,0.10535,0.097,0.0382,102.0,78.0,98.0,-19.729429694806345,-14.701154816172982,-0.246799997985363,0.03174999728798866,160,-2.374237,66.4256,0.015606549940011523,0.00868971655512496,-0.11363637,0.36724314,0.19003905,0.0057679887668821,9.486917516432491E-5,3.9632126811042084E-5,0.039647575,-0.16091955,0.028315578,0.059367858,0.12357446,52.571133,19.012203,-45,0.6767925970151382,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.88085297649508,45.6457801216158]}"
000000000000000009ea_0,100.0,0.13835,0.0011,0.1635,0.11375,0.11075,0.09485,0.09795,0.1087,0.11835,0.12885,0.10935,0.03915,105.0,72.0,104.0,-21.952962192366627,-16.065831371687672,-0.6147499792277813,-0.08983749337494373,142,-2.6829844,75.82964,0.03289380690983657,0.019004838926797274,-0.18181819,0.37506175,0.10108456,0.00527515331208622,2.429030157921029E-4,9.055136651189843E-5,-0.011235955,-0.0964467,0.04163166,0.0718596,-0.07560834,73.30776,15.985193,-34,0.5382099224572667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.88211061789285,45.64488180633168]}"
000000000000000009eb_0,86.0,0.1361,0.001,0.13385,0.0931,0.10485,0.0894,0.0951,0.1015,0.1095,0.1165,0.11085,0.0432,93.0,101.0,106.0,-21.4964162664293,-15.325907705149309,-0.46153745986521244,-0.06197498366236687,133,-1.603037,58.095512,0.04399072304794214,0.02635215940499802,-0.024154589,0.38206324,0.13044104,0.0032819061998142916,6.806427422146426E-4,4.556583311175477E-4,0.13307984,-0.0046948357,0.059391327,0.1603168,-0.008245698,74.35484,35.75586,-19,1.3779769201201122,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.86791723640376,45.655481926684296]}"
000000000000000009ec_0,98.0,0.1265,9.0E-4,0.0864,0.064,0.10585,0.08805,0.0819,0.0811,0.08325,0.08735,0.0867,0.02035,96.0,88.0,93.0,-24.239320793501342,-13.990201885072853,-0.19107501581311226,0.050325000658631325,176,-1.3129348,53.069088,0.015301729237318512,0.008239204954641033,-0.027624309,0.36149386,0.16073497,0.012296834517642912,2.776706933222822E-4,7.721413459733928E-5,0.04522613,-0.15343915,0.019088984,0.053842366,0.17777428,38.69069,17.926483,-41,0.5555479817580871,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.86728841570488,45.657368388780945]}"
000000000000000009ed_0,76.0,0.13415,0.0011,0.1194,0.0877,0.09535,0.07625,0.07205,0.08675,0.0907,0.095,0.0716,0.0371,66.0,52.0,65.0,-26.017188505897877,-20.938680651310037,-0.4316750057041645,-0.022449998185038567,132,-1.1629876,66.629745,-0.0014262627630067214,-7.867227125325504E-4,-0.11111111,0.37410218,0.08624964,0.008182149856523095,7.266128687445613E-4,0.001028604802052491,0.056603774,-0.05531915,-0.0076636183,0.09604673,-0.05707568,87.49431,25.297401,-38,1.5119683708632545,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.86333582845475,45.65826670406506]}"
000000000000000009ee_0,109.0,0.13345,0.0011,0.1512,0.1018,0.1157,0.09995,0.1023,0.11275,0.1235,0.12975,0.11185,0.0524,115.0,73.0,114.0,-24.538313563059262,-17.219041018623464,-0.5129124894738197,-0.05444999597966671,148,-1.278445,63.96425,0.027829576420089933,0.015812730162668043,-0.21925133,0.37128478,0.15585786,0.0054395232321850125,0.0010411347296839513,7.826535463992257E-4,0.49612403,0.018867925,0.034943838,0.047272243,0.0016663474,75.14199,2.7916825,-34,1.0959250619312317,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.85785610522163,45.66132097603107]}"
000000000000000009ef_0,112.0,0.1389,0.0012,0.2307,0.13795,0.11795,0.11325,0.1427,0.1528,0.16845,0.18605,0.17975,0.0563,128.0,143.0,139.0,-25.31743254663196,-17.493687243790447,-0.8941000029444695,-0.24908749014139175,147,-2.0190427,67.82309,0.08045077123822424,0.05688558920152065,0.014184397,0.39422303,0.18884942,0.0033189044392880522,0.0014108174471973711,0.001243458030959401,0.1969112,-0.00729927,0.10905922,0.13487929,-0.09576445,40.34169,24.388607,-36,2.1146989400050797,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.85031025683502,45.66374642729819]}"
000000000000000009f0_0,107.0,0.1323,0.001,0.1323,0.09455,0.11235,0.1001,0.10635,0.11345,0.13085,0.1395,0.15015,0.0349,118.0,112.0,126.0,-20.43367447240663,-15.545598878493834,-0.4263500012457371,-0.08471249788999557,175,-0.6893785,53.206642,0.11579644473449675,0.07127608022445264,-0.05882353,0.37202007,0.2223289,0.0045743677003774255,6.837262005836287E-4,3.078217867589633E-4,0.32947975,-0.14018692,0.16535616,-0.019923449,0.035865504,15.543304,15.149545,-39,2.6728496590954895,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.85282553963056,45.66464474258231]}"
000000000000000009f1_0,119.0,0.1355,0.001,0.14475,0.105,0.12205,0.1071,0.11025,0.114,0.12045,0.1277,0.11085,0.0388,114.0,74.0,109.0,-22.72687248231044,-16.390259434774187,-0.46706247702240944,-0.01984998770058155,174,-0.8614182,55.54937,0.0017503289262110013,9.83021071906398E-4,-0.19125684,0.36888626,0.120453805,0.006946996416229761,5.988259492022557E-4,3.9200332602623567E-4,0.033175357,-0.12101911,0.0012903501,0.03686275,0.015325201,20.30359,6.5667415,-41,1.9786814282776626,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.85965273578987,45.66177013367313]}"
