system:index,Presence,layer,path,.geo
000000000000000009e2,0,,,"{""type"":""Point"",""coordinates"":[-120.88602889937036,45.62318540990623]}"
000000000000000009e3,0,,,"{""type"":""Point"",""coordinates"":[-120.84959804376369,45.6282063576924]}"
000000000000000009e4,0,,,"{""type"":""Point"",""coordinates"":[-120.83985044886087,45.648834159165645]}"
000000000000000009e5,0,,,"{""type"":""Point"",""coordinates"":[-120.81445140926047,45.628924272962]}"
000000000000000009e6,0,,,"{""type"":""Point"",""coordinates"":[-120.80650083208215,45.65098790497446]}"
000000000000000009e7,0,,,"{""type"":""Point"",""coordinates"":[-120.8213808522975,45.64094600940209]}"
000000000000000009e8,0,,,"{""type"":""Point"",""coordinates"":[-120.90493102873592,45.635274032862114]}"
000000000000000009e9,0,,,"{""type"":""Point"",""coordinates"":[-120.88083404664312,45.64576629764087]}"
000000000000000009ea,0,,,"{""type"":""Point"",""coordinates"":[-120.8821539405549,45.64489677293545]}"
000000000000000009eb,0,,,"{""type"":""Point"",""coordinates"":[-120.86788035808283,45.65547376063422]}"
000000000000000009ec,0,,,"{""type"":""Point"",""coordinates"":[-120.86730513404696,45.657377796784054]}"
000000000000000009ed,0,,,"{""type"":""Point"",""coordinates"":[-120.86335882961464,45.658260698792624]}"
000000000000000009ee,0,,,"{""type"":""Point"",""coordinates"":[-120.85784738071257,45.661319642115295]}"
000000000000000009ef,0,,,"{""type"":""Point"",""coordinates"":[-120.85027582712387,45.66375431129046]}"
000000000000000009f0,0,,,"{""type"":""Point"",""coordinates"":[-120.85281305562324,45.66465950880432]}"
000000000000000009f1,0,,,"{""type"":""Point"",""coordinates"":[-120.85968898944766,45.661752174917474]}"
000000000000000009f2,0,,,"{""type"":""Point"",""coordinates"":[-120.85873474182222,45.661159114477364]}"
000000000000000009f3,0,,,"{""type"":""Point"",""coordinates"":[-120.83374148041767,45.666853386522625]}"
000000000000000009f4,0,,,"{""type"":""Point"",""coordinates"":[-120.78374158030536,45.679887338901835]}"
000000000000000009f5,0,,,"{""type"":""Point"",""coordinates"":[-120.82629032255736,45.67377837045862]}"
000000000000000009f6,0,,,"{""type"":""Point"",""coordinates"":[-120.7674346477529,45.61865496323592]}"
000000000000000009f7,0,,,"{""type"":""Point"",""coordinates"":[-120.77384683506777,45.62906250509466]}"
000000000000000009f8,0,,,"{""type"":""Point"",""coordinates"":[-120.77526037010172,45.65247278562526]}"
000000000000000009f9,0,,,"{""type"":""Point"",""coordinates"":[-120.7857793894868,45.6162336713639]}"
000000000000000009fa,0,,,"{""type"":""Point"",""coordinates"":[-120.71022438123721,45.6174019558399]}"
000000000000000009fb,0,,,"{""type"":""Point"",""coordinates"":[-120.7269014191771,45.63139461494561]}"
000000000000000009fc,0,,,"{""type"":""Point"",""coordinates"":[-120.69867976860984,45.62556211076771]}"
000000000000000009fd,0,,,"{""type"":""Point"",""coordinates"":[-120.70881084620326,45.64440181271851]}"
