system:index,B,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,G,N,R,VH,VV,awei_nsh,awei_sh,constant,cti,elevation,evi,msavi2,naip_NDVI,nbi,nbr,nbr_max_var,nbr_var_median,nbr_var_pct,nd_max,nd_median,ndvi,ndvi_diff,ndwi,roughness,slope,tpi,tri,.geo
00000000000000000000_0,107.0,0.1422,0.0015,0.3079,0.239,0.1378,0.1344,0.1578,0.1722,0.2058,0.2257,0.225,0.0758,106.0,122.0,90.0,-23.00993968744045,-15.048038655622662,-1.4075000435113907,-0.38530002534389496,167,2.7924817,432.47678,0.14758847865011485,0.09952016938433439,0.1509434,0.37488374,0.029870374,0.009852142711427855,2.9024925048713355E-4,2.9176425451415744E-4,0.33858266,0.12068965,0.18310627,0.03558579,-0.28674203,10.248213,3.2716892,-49,0.22083567176131852,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.104528907959,48.25861995700584]}"
00000000000000000001_0,75.0,0.1247,0.0014,0.2164,0.1454,0.1083,0.0979,0.0969,0.1157,0.1831,0.2076,0.207,0.0886,79.0,93.0,75.0,-9.614041636788759,-1.9608756979294248,-0.9255999848246574,-0.31839999184012413,69,-3.8058398,1133.3539,0.28197510734438336,0.17818150692917056,0.10714286,0.35400856,0.21243021,0.016123457278276278,0.0020542430652551805,0.0013833989809564629,0.44444445,0.2140351,0.33333334,0.18711233,-0.20193152,127.774216,44.662117,44,2.3621378155920008,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.7671216872437,48.45310521601772]}"
00000000000000000002_0,63.5,0.1071,0.0019,0.1309,0.0756,0.0858,0.0752,0.0572,0.0751,0.1429,0.1708,0.1681,0.0759,43.0,58.0,27.0,-17.874899266303636,-12.624569861086783,-0.4727249816060066,-0.19359999522566795,176,-3.2236443,1693.5477,0.3194860555511528,0.19422490010315152,0.3647059,0.3107241,0.39070228,0.028385366508943077,0.0016470917817145159,0.005003223920612754,0.61777776,0.4509804,0.5004299,-0.044932395,0.052724544,42.439075,0.86763203,8,1.4576751418846898,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.89540110981596,48.878637166105136]}"
00000000000000000003_0,88.0,0.1411,0.0016,0.3115,0.1973,0.1143,0.1051,0.112,0.1461,0.1893,0.2178,0.2154,0.0773,97.0,149.0,92.0,-24.987083687764486,-18.93385808101067,-1.4220250621438026,-0.46262501925230026,166,0.29027486,351.8295,0.2509343023424895,0.16313450720150335,0.23651452,0.3657212,0.08364486,0.05392531775610574,0.0159461155302522,0.002303714296489477,0.3809524,0.24901186,0.29890454,0.0031132698,-0.28398132,1.14896,0.029195575,-27,0.3411588665393263,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.65869503245047,48.91825287013481]}"
00000000000000000004_0,60.0,0.0911,0.0016,0.067,0.0349,0.0652,0.0536,0.0345,0.0518,0.1206,0.1429,0.1394,0.0715,40.0,51.0,6.0,-20.095478856580677,-14.612518442980512,-0.18442501034587622,-0.11912501323968172,164,-3.3556087,2088.5,0.30586659407723676,0.19326958223558122,0.7894737,0.30071756,0.6406821,0.05334305691287475,6.379465305288434E-4,0.0034242541024975814,0.9117647,0.7804878,0.572767,-0.22568652,0.2796093,85.763504,16.732414,-5,0.5718949335775746,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.07093191633292,48.96757037923297]}"
00000000000000000005_0,200.0,0.1568,0.0016,0.3436,0.2668,0.2008,0.2087,0.2367,0.2132,0.2472,0.2735,0.2994,0.0879,209.0,194.5,210.5,-16.31444111678813,-7.6110742341186945,-1.3481499776244164,-0.3086500018835068,160,1.1559974,396.23398,0.1291611824842692,0.0827129319425578,-0.039506175,0.35406995,0.05423477,0.0013671374667021485,5.565398168857988E-4,4.486344901893275E-4,0.2056239,-0.018050542,0.12156863,0.049823165,-0.11584118,51.334747,14.626588,-38,0.5167334821460547,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.75265881116938,48.176244445452085]}"
00000000000000000006_0,48.0,0.1057,0.0014,0.1292,0.0594,0.0775,0.0707,0.043,0.0823,0.2122,0.2553,0.2397,0.0908,35.0,90.0,23.0,-16.27488245868825,-8.594393268221864,-0.4572749976068735,-0.3139500077813864,185,-0.30904576,1534.2704,0.5365813768347618,0.34758255955247797,0.59292036,0.2604603,0.6358442,0.04490801449414399,5.788871975073717E-4,0.01350494315823536,0.70552146,0.53271025,0.683151,-0.17343399,0.067880794,27.964128,0.39416128,54,0.4950736492303043,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.91624202440754,48.41402850115852]}"
00000000000000000007_0,125.0,0.11515,0.00365,0.24635,0.16925,0.0887,0.08855,0.07575,0.1292,0.22375,0.25055,0.27655,0.13,124.0,103.0,120.0,-14.805244862302022,-8.438455859134033,-1.165775004774332,-0.5165874995291233,211,-2.5892317,1902.3586,0.47100766856127274,0.3277405628826904,-0.076233186,0.29999998,0.24722593,0.20303618839751977,0.05779979625812911,0.04073997137631265,0.07936508,-0.01754386,0.5514993,-0.22896376,-0.3113171,91.848465,23.764296,-47,0.94065978080904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.41408835486658,48.98921977758025]}"
00000000000000000008_0,101.5,0.1127,0.0017,0.1672,0.1064,0.0887,0.0792,0.0659,0.0977,0.1729,0.1922,0.1815,0.11,93.5,113.0,77.5,-15.585272323419664,-8.408746640020505,-0.6899749934673309,-0.26295000687241554,108,-1.8719547,1845.4926,0.3170076308033516,0.19854840666549345,0.1863517,0.32249784,0.29132652,0.024186951277179555,7.053149057388852E-4,0.0024689535025255865,0.26143792,0.1536643,0.4215131,-0.35308045,-0.14655173,59.81107,13.21992,-56,1.318633371665507,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.18977902842194,48.89831027082735]}"
00000000000000000009_0,86.5,0.144,0.0016,0.2437,0.1524,0.1214,0.1203,0.1207,0.146,0.2025,0.2349,0.2594,0.0828,114.5,179.5,93.0,-17.9696704990852,-10.673610213145817,-0.9775499887764454,-0.37060000747442245,122,-1.990176,576.2743,0.3231292620916303,0.21232747509297567,0.31743118,0.3360927,0.2344975,0.014923134473314661,0.0013250454342510903,0.0017073265908395772,0.3423077,0.031914894,0.34652016,0.23424593,-0.1356305,54.037045,30.967632,-29,0.44957527538966524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.78185405790326,48.21433301349875]}"
