system:index,Presence,.geo
00000000000000000000,0,"{""type"":""Point"",""coordinates"":[-120.10457143975397,48.258625610019074]}"
00000000000000000001,0,"{""type"":""Point"",""coordinates"":[-119.76709329472604,48.45309592516195]}"
00000000000000000002,0,"{""type"":""Point"",""coordinates"":[-119.89540838664001,48.878614561389135]}"
00000000000000000003,0,"{""type"":""Point"",""coordinates"":[-119.65867025261149,48.91826042885532]}"
00000000000000000004,0,"{""type"":""Point"",""coordinates"":[-120.07095427691203,48.96752903639484]}"
00000000000000000005,0,"{""type"":""Point"",""coordinates"":[-119.75266810281812,48.17626601356192]}"
00000000000000000006,0,"{""type"":""Point"",""coordinates"":[-119.91620563395325,48.41398514982219]}"
00000000000000000007,0,"{""type"":""Point"",""coordinates"":[-120.41410885758103,48.9892091857167]}"
00000000000000000008,0,"{""type"":""Point"",""coordinates"":[-120.18976702448114,48.89831041074221]}"
00000000000000000009,0,"{""type"":""Point"",""coordinates"":[-119.78189751022346,48.21433781835625]}"
0000000000000000000b,0,"{""type"":""Point"",""coordinates"":[-119.91552339149209,48.337520484957686]}"
0000000000000000000d,0,"{""type"":""Point"",""coordinates"":[-120.5485596725445,48.778967030147776]}"
0000000000000000000e,0,"{""type"":""Point"",""coordinates"":[-119.87451749820458,48.18522880667935]}"
0000000000000000000f,0,"{""type"":""Point"",""coordinates"":[-119.72792901017361,48.580224896195695]}"
00000000000000000010,0,"{""type"":""Point"",""coordinates"":[-120.11267362636808,48.88793854169189]}"
00000000000000000011,0,"{""type"":""Point"",""coordinates"":[-119.63197361460452,48.35796992238879]}"
00000000000000000012,0,"{""type"":""Point"",""coordinates"":[-119.61701778967125,48.49160026275846]}"
00000000000000000013,0,"{""type"":""Point"",""coordinates"":[-120.33716706890381,48.70720225779361]}"
00000000000000000014,0,"{""type"":""Point"",""coordinates"":[-120.2806747176577,48.789049057629626]}"
00000000000000000015,0,"{""type"":""Point"",""coordinates"":[-119.78057761631165,48.74926049892972]}"
00000000000000000016,0,"{""type"":""Point"",""coordinates"":[-120.23879484056377,48.51241088737489]}"
00000000000000000017,0,"{""type"":""Point"",""coordinates"":[-119.52350598147945,48.484220450515004]}"
00000000000000000018,0,"{""type"":""Point"",""coordinates"":[-120.49108631906667,48.96966048669838]}"
00000000000000000019,0,"{""type"":""Point"",""coordinates"":[-119.67291708047723,48.57697867062879]}"
0000000000000000001a,0,"{""type"":""Point"",""coordinates"":[-119.8690194266057,48.49316540722822]}"
0000000000000000001b,0,"{""type"":""Point"",""coordinates"":[-120.11855518065757,48.275088611108394]}"
0000000000000000001c,0,"{""type"":""Point"",""coordinates"":[-120.52609026233618,48.982725652784985]}"
0000000000000000001d,0,"{""type"":""Point"",""coordinates"":[-119.64099883513668,48.384822628932646]}"
0000000000000000001e,0,"{""type"":""Point"",""coordinates"":[-119.65675729825956,48.42450416920727]}"
0000000000000000001f,0,"{""type"":""Point"",""coordinates"":[-120.24602750247244,48.85335375392136]}"
