system:index,elevation,evi,msavi2,naip_NDVI,nbi,nbr,nbr_max_var,nbr_var_median,nbr_var_pct,nd_median,ndvi,ndvi_diff,roughness,slope,tri,.geo
00000000000000000000_0,863.26685,0.5904090255132672,0.38200617429320755,0.47107437,0.28097063,0.8444597,0.013101940726283227,8.756749152860621E-5,2.347222938285931E-4,0.52112675,0.75578946,0.011888981,21.291721,3.7203948,0.23448074143427933,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.71269292958976,46.18036754719533]}"
00000000000000000001_0,952.72095,0.39277568771639526,0.2568649764504912,0.369863,0.31672257,0.47713265,0.013047720671116703,0.00590314233525735,0.004373472768439024,0.369863,0.5589537,-0.025006473,33.29027,5.5798388,2.2843297556335784,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.9831710873563,46.450311290073245]}"
00000000000000000002_0,727.1878,0.15579808476579196,0.10859931842442605,-0.0074626864,0.37153518,0.09438944,0.004919444855864548,0.0012411720228537974,0.00153275891987191,0.0,0.19373988,0.23254229,65.366425,12.195234,0.6179731200568025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.57237150792844,46.06520352777121]}"
00000000000000000003_0,1280.3704,0.5635009856823899,0.3798790757846324,0.4876033,0.26400995,0.73002017,0.03867817432976728,1.1670764487714536E-4,1.1346875134665702E-4,0.5375,0.73555166,0.018586934,53.41301,18.152895,1.3044571862634795,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.03563269994888,46.45192825758466]}"
00000000000000000004_0,631.02527,0.5855614842654753,0.38431758093210977,0.55191255,0.2879191,0.7471873,0.020479211633407334,2.1444406851722775E-4,2.1664814619404282E-4,0.5,0.717137,-0.026154399,9.903086,1.1678978,0.15801161804108932,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.55638607015297,45.98219919551856]}"
00000000000000000005_0,727.8493,0.16184969164666693,0.1178594912544183,-0.0036764706,0.3910835,0.122780025,0.011828106016730181,0.003997281214403011,0.005020828921705971,-0.003533569,0.20234045,0.19943868,44.805782,16.678213,0.7457664882417531,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.12762018504272,45.716747029061246]}"
00000000000000000006_0,1265.9435,0.3818296574919765,0.23594245188240232,0.3526971,0.30175912,0.78231287,0.028291528619359182,8.852189233410357E-5,0.002046334814619133,0.32291666,0.66146016,0.087284744,54.966316,17.73619,0.13282572696008288,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62214274895051,46.20848481558827]}"
00000000000000000007_0,1077.5544,0.34488155329905423,0.22742646962512592,0.25238097,0.3211512,0.4476429,0.011095609619817393,2.970321263893183E-4,5.128394982477635E-4,0.25,0.4913958,0.12218639,72.477196,21.276236,1.1573129424124686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.93475189354226,46.48507609156867]}"
00000000000000000008_0,487.92892,0.17905641236655795,0.1334755876096294,-0.008695652,0.3830087,0.14532512,0.026223899820465465,0.008277669497609053,0.005888598482328481,0.0058479533,0.19631301,0.43191874,5.3239026,0.25292882,0.22712956516451097,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.90367018471171,45.7359709761414]}"
00000000000000000009_0,1233.6819,0.31253189501542356,0.2046166849917359,0.077844314,0.3383163,0.32402378,0.010359999321349374,3.6499348742756454E-4,3.3903654638976766E-4,0.24255319,0.43446776,0.0072565675,6.5731235,2.2749279,0.3386304841052057,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.79883679105497,46.106975188482764]}"
