system:index,elevation,evi,msavi2,naip_NDVI,nbi,nbr,nbr_max_var,nbr_var_median,nbr_var_pct,nd_median,ndvi,ndvi_diff,roughness,slope,tri,.geo
00000000000000000000_0,217.10982,0.8700318398026936,0.5983412944475031,0.3580786,0.2585071,0.77660584,0.008674633219526282,2.3156877647867447E-4,7.677696558985314E-4,0.3321234,0.82526433,0.038333237,103.82368,30.162395,1.4135676800916905,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.78698360358645,48.54967410906057]}"
00000000000000000001_0,2355.1619,0.06788652446991728,0.042376271629495754,-0.1768953,0.347438,0.13692614,0.055103380442476896,2.9127536998263537E-4,2.1114859159337973E-4,-0.13419913,0.114783384,-0.1313116,150.94429,37.02524,2.469561503495489,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.53248630931353,48.51248385629802]}"
00000000000000000002_0,2039.696,0.3900954738483605,0.2654560418687606,0.18498659,0.31220555,0.28498295,0.04939340925874129,0.0026705171937288497,0.0019281605182664974,0.1402715,0.51678324,-0.32407555,112.09344,27.111635,1.7196795305556738,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.8539035179715,48.75457982536823]}"
00000000000000000003_0,616.54663,0.7423050371609958,0.4913135860897874,0.5887324,0.24509011,0.82725674,0.04915571664617679,9.823663481922651E-5,3.229164813987051E-4,0.55212355,0.79508066,-0.02673155,78.44894,20.598213,0.9257078023682743,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.86154377216836,48.320424048553264]}"
00000000000000000004_0,54.672264,0.7854920849245337,0.5141751213731063,0.34801763,0.29382583,0.76921713,0.026766634370676914,4.8376872036270946E-4,0.004376492782100838,0.28138527,0.79322046,0.12801772,10.363195,2.8764112,0.4427987169701553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.74916453012501,48.53000100433835]}"
00000000000000000005_0,1169.6414,0.3950213052820506,0.2383390573991111,0.53846157,0.28963208,0.71842843,0.03018591094362494,8.223848838695424E-5,2.8861166562954566E-4,0.57894737,0.6771242,0.053784445,141.86089,26.491035,6.678873931076032,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3356700048448,48.55811827273129]}"
00000000000000000006_0,1891.0687,0.3664586407206239,0.23309832149142323,0.05755396,0.3100329,0.3906456,0.033351631643879075,3.8875872942600864E-4,1.5500172342708396E-4,0.086419754,0.51570773,-0.27165067,117.17456,32.771774,2.1271923960920427,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.04991591296638,48.42723373583508]}"
00000000000000000007_0,771.7856,0.27433114464062824,0.15801440705946473,0.25974026,0.33944952,0.75950086,0.011249472808412856,3.276200374968674E-4,3.242299063401788E-4,0.2955975,0.568306,0.07172999,82.4616,21.181307,0.469619981617434,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.19607180969263,48.38429426525416]}"
00000000000000000008_0,736.1247,0.44027632880043216,0.2702831217936808,0.2327044,0.3039765,0.71834576,0.02270531712074447,2.748248075974402E-4,1.9758787050733195E-4,0.25619835,0.658392,-0.012914658,27.196161,3.6282468,0.5310506392239399,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.80512957232565,48.34629552873591]}"
00000000000000000009_0,1042.6951,0.5930852537593395,0.3875568227651195,0.6258503,0.25770795,0.6803161,0.013328735925562865,7.539793374528037E-5,3.6687263194323805E-4,0.625,0.77729416,0.104460314,213.82207,36.10912,0.9291627166450036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32489022143537,48.388875673203174]}"
0000000000000000000a_0,112.55002,0.48745565105912003,0.283245513524081,0.4117647,0.2794899,0.7658168,0.007872580034510478,3.188573449284249E-4,2.764338559826385E-4,0.43396226,0.67510355,-0.002406299,75.9564,24.049461,2.397489797268225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56303360325545,48.41223187059028]}"
0000000000000000000b_0,1342.7415,0.3158096161783983,0.1854338591979594,0.083333336,0.30506158,0.795045,0.046909778523640415,4.097649446355156E-4,0.006824501135786587,0.28333333,0.67144907,0.33359694,158.51181,36.17903,2.671784156977149,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2019108590394,48.52497043874728]}"
0000000000000000000c_0,1963.3892,0.31514580100079415,0.1951914912093033,0.18471338,0.29514903,0.46760345,0.02595808484181892,8.68386167036661E-4,5.275338923111939E-4,0.13454546,0.54997146,-0.23191878,192.97107,51.73976,8.632015900150126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.83899148425512,48.571772665049906]}"
0000000000000000000d_0,1477.5508,0.21345063521806165,0.12917326185039996,0.486911,0.32186234,0.21059269,0.060572132951534415,0.07027226328817299,0.06855442405062302,0.47297296,0.34996718,-0.13252556,196.9437,42.89858,1.3464497343867938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.55206958250734,48.46837657584775]}"
0000000000000000000e_0,1311.7041,0.4951864280787455,0.32573326252814094,0.38222224,0.29768637,0.58301157,0.03896967812689408,9.800883356640977E-4,5.827369272823901E-4,0.36241612,0.67474943,-0.6068418,61.24896,5.470465,68.7644716552347,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.34123955960634,48.30245774287088]}"
00000000000000000010_0,908.83185,0.6048775118522852,0.38657463210463183,0.55873924,0.27132246,0.8282006,0.04454191523947546,1.9782873855067606E-4,0.002086413291621181,0.5647668,0.7673098,-0.04629439,72.42871,32.013042,0.12410100326252621,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.85247078779875,48.40890810403904]}"
00000000000000000011_0,905.06726,0.4719985196388419,0.2779975902395273,0.28985506,0.29796356,0.71051145,0.06547397161269194,1.7019102517412676E-4,0.024303753703501962,0.14876033,0.574026,-0.05448851,55.19821,22.178528,1.1458533930605754,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.69319948792436,48.37037037835031]}"
00000000000000000012_0,1506.1221,0.4788184549352912,0.3105327361137536,0.5188679,0.31832507,0.37761006,0.00777144933363622,8.310283795222584E-4,0.003015653981473937,0.28037384,0.6195355,-0.1680901,179.79868,35.23287,1.4902709936380663,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.61486182086729,48.59988993344285]}"
00000000000000000013_0,1563.8478,0.43869543039720854,0.28825445922794096,0.24479167,0.2854772,0.33958822,0.0095507961019216,2.135583154090348E-4,4.330929379519066E-4,0.16129032,0.556958,-0.10867387,195.20789,48.624146,1.4838062300180699,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.92415177318965,48.57680323064098]}"
00000000000000000014_0,1670.2968,0.4189484973074293,0.26413769609433,0.55454546,0.27203512,0.6794846,0.03727276827188019,3.4161839462404364E-4,5.54342291665344E-4,0.5083333,0.65482676,-0.20790774,94.85787,16.189188,0.7626215081158959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.89324972741593,48.73122362798112]}"
00000000000000000015_0,1931.4188,0.36506566515309513,0.26349747176821137,0.06849315,0.32547298,0.3136763,0.07441398967047061,0.0023455383439783817,0.002973585122432218,0.15750916,0.405509,-0.3790896,129.03136,18.693907,0.5190104236160821,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.69526103879599,48.601057743312204]}"
00000000000000000017_0,997.22485,0.34287626240213337,0.19963531120076045,-0.2,0.3374432,0.7008256,0.02683674964666663,2.3644300324998646E-4,3.3039684211710885E-4,-0.4385965,0.6512592,-0.021703541,180.06819,35.38524,1.4569453718817087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.79632608254128,48.32410714121816]}"
00000000000000000018_0,909.1326,0.45727003454009507,0.2817595664289901,0.47031963,0.28091237,0.78280044,0.00915962521145351,1.280455516559087E-4,1.9707522840661795E-4,0.44354838,0.7083333,-0.088611424,166.05449,39.182194,1.4210094879639485,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2289501490914,48.49532603437134]}"
00000000000000000019_0,1637.9661,0.47662266078518345,0.3132162428635927,0.31707317,0.23184194,0.6729158,0.04680690302768612,9.219003159332551E-4,0.002188158562340836,0.39325842,0.55877614,-0.3532318,48.7194,22.825413,3.305976397642412,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.80656230249839,48.55183006574246]}"
0000000000000000001a_0,501.33957,0.800604209557811,0.531862801054817,0.5315315,0.263101,0.8242784,0.01645624516532701,5.691549497699455E-5,1.0367042495196266E-4,0.5764706,0.8113716,-0.016518295,19.29037,3.5652263,2.082437528895075,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.57264557679552,48.3432412567699]}"
0000000000000000001b_0,994.7229,0.5221718731038434,0.33018506875824205,0.42391303,0.29260257,0.8271215,0.019876896209374145,1.4446630315978481E-4,2.506980650540669E-4,0.40963855,0.71414065,0.08227998,106.23224,31.980736,0.6535210534121485,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.69858937962908,48.443223747892404]}"
0000000000000000001c_0,1033.195,0.5453223210591996,0.3506708508472075,0.44206008,0.25574845,0.48039216,0.03228455989954414,0.007909541690563404,0.0020033400931870893,0.28502417,0.6549918,0.004473485,131.4729,25.34073,0.38794698997614036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.16849353047016,48.53089931962247]}"
0000000000000000001d_0,663.8869,0.5068274366456725,0.2880822428789248,0.54444444,0.31266847,0.70224077,0.03438070930305579,2.7808853359179153E-4,5.06277611277639E-4,0.5194805,0.6558202,-0.041502357,134.1512,28.511444,1.6160277796949594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05818041358027,48.77910383262469]}"
0000000000000000001e_0,89.59425,0.7049434755324381,0.44872783397503063,0.5802469,0.28238478,0.85739434,0.011860583932377591,4.579293486872693E-5,3.1118389465234486E-5,0.5906433,0.7851872,0.010743737,23.176233,4.2301283,1.4925533814495535,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.53159256831127,48.470263037944406]}"
