system:index,Presence,.geo
00000000000000000000,0,"{""type"":""Point"",""coordinates"":[-121.78695013530961,48.54967559487854]}"
00000000000000000001,0,"{""type"":""Point"",""coordinates"":[-120.53252474515632,48.51246885568858]}"
00000000000000000002,0,"{""type"":""Point"",""coordinates"":[-120.85388323987605,48.75455345188016]}"
00000000000000000003,0,"{""type"":""Point"",""coordinates"":[-121.86153751863061,48.32041537331668]}"
00000000000000000004,0,"{""type"":""Point"",""coordinates"":[-121.74916371298274,48.530024336535995]}"
00000000000000000005,0,"{""type"":""Point"",""coordinates"":[-121.33564005858932,48.55808991856639]}"
00000000000000000006,0,"{""type"":""Point"",""coordinates"":[-121.04994545409504,48.42725989365828]}"
00000000000000000007,0,"{""type"":""Point"",""coordinates"":[-121.19610140932382,48.38428753680622]}"
00000000000000000008,0,"{""type"":""Point"",""coordinates"":[-121.80512543120346,48.34630937313404]}"
00000000000000000009,0,"{""type"":""Point"",""coordinates"":[-121.32484903403997,48.388840278981796]}"
0000000000000000000a,0,"{""type"":""Point"",""coordinates"":[-121.5630007031024,48.412197050299746]}"
0000000000000000000b,0,"{""type"":""Point"",""coordinates"":[-121.20190269979435,48.524945420436126]}"
0000000000000000000c,0,"{""type"":""Point"",""coordinates"":[-120.8390076787618,48.57176598149731]}"
0000000000000000000d,0,"{""type"":""Point"",""coordinates"":[-120.55207344417465,48.46839064177527]}"
0000000000000000000e,0,"{""type"":""Point"",""coordinates"":[-121.34122731220928,48.30244519607128]}"
00000000000000000010,0,"{""type"":""Point"",""coordinates"":[-121.85244541158264,48.40888393821703]}"
00000000000000000011,0,"{""type"":""Point"",""coordinates"":[-121.6932198311662,48.37036622331737]}"
00000000000000000012,0,"{""type"":""Point"",""coordinates"":[-120.61483975060297,48.59984939993191]}"
00000000000000000013,0,"{""type"":""Point"",""coordinates"":[-120.92418096798365,48.57678247018244]}"
00000000000000000014,0,"{""type"":""Point"",""coordinates"":[-120.89321251116746,48.73125910797696]}"
00000000000000000015,0,"{""type"":""Point"",""coordinates"":[-120.69522842439444,48.60107119362056]}"
00000000000000000017,0,"{""type"":""Point"",""coordinates"":[-121.79635437943136,48.32413426359525]}"
00000000000000000018,0,"{""type"":""Point"",""coordinates"":[-121.22891593397614,48.49533253034019]}"
00000000000000000019,0,"{""type"":""Point"",""coordinates"":[-120.80651866848638,48.5518248815863]}"
0000000000000000001a,0,"{""type"":""Point"",""coordinates"":[-121.57266803418632,48.34326826621559]}"
0000000000000000001b,0,"{""type"":""Point"",""coordinates"":[-121.69858858883454,48.44322347542963]}"
0000000000000000001c,0,"{""type"":""Point"",""coordinates"":[-121.16848619649983,48.5309161567467]}"
0000000000000000001d,0,"{""type"":""Point"",""coordinates"":[-121.05818141374074,48.77910526228043]}"
0000000000000000001e,0,"{""type"":""Point"",""coordinates"":[-121.53159971348404,48.47021887320719]}"
0000000000000000001f,0,"{""type"":""Point"",""coordinates"":[-120.68638156790442,48.56517543014032]}"
00000000000000000020,0,"{""type"":""Point"",""coordinates"":[-121.27001100928469,48.52971219946226]}"
00000000000000000022,0,"{""type"":""Point"",""coordinates"":[-121.40762332689509,48.41839520076404]}"
00000000000000000023,0,"{""type"":""Point"",""coordinates"":[-121.25067634711695,48.45462539682329]}"
00000000000000000024,0,"{""type"":""Point"",""coordinates"":[-121.05171125811219,48.682962584467084]}"
00000000000000000025,0,"{""type"":""Point"",""coordinates"":[-121.87132524544292,48.56673611550902]}"
00000000000000000026,0,"{""type"":""Point"",""coordinates"":[-121.75266856641076,48.458701015186136]}"
00000000000000000027,0,"{""type"":""Point"",""coordinates"":[-120.6918038347854,48.52250629215989]}"
00000000000000000028,0,"{""type"":""Point"",""coordinates"":[-121.25989330899445,48.437074375076925]}"
00000000000000000029,0,"{""type"":""Point"",""coordinates"":[-121.14916045253419,48.6217569634075]}"
0000000000000000002a,0,"{""type"":""Point"",""coordinates"":[-120.69630306774835,48.767796982008896]}"
0000000000000000002b,0,"{""type"":""Point"",""coordinates"":[-121.02951385306814,48.563414085224196]}"
0000000000000000002d,0,"{""type"":""Point"",""coordinates"":[-120.89100971524707,48.63049680147224]}"
