system:index,elevation,evi,msavi2,naip_NDVI,nbi,nbr,nbr_max_var,nbr_var_median,nbr_var_pct,nd_median,ndvi,ndvi_diff,roughness,slope,tri,.geo
00000000000000001dc1_0,1810.7228,0.11660019118520551,0.07809637210361386,-0.11764706,0.3543738,0.03174202,0.005787367017775417,4.400459676276629E-4,3.042999272915536E-4,-0.06761566,0.16025728,0.03758897,145.06686,23.503344,0.9678369082963721,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27117096744502,46.67740539389866]}"
0000000000000000178f_0,1406.6178,0.3633837076668639,0.22426238315750552,0.21167883,0.30071598,0.59080994,0.02517635630105371,9.88856046159503E-4,0.0016908369899466535,0.015873017,0.6156825,0.12641138,251.65732,43.762802,2.6174856901130727,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.66849581761107,46.66662561048923]}"
00000000000000001790_0,1507.3392,0.12872860443600537,0.08682999004183378,-0.19310345,0.37356403,0.029048644,0.020303074056633362,9.298909819840766E-4,4.972433755242823E-4,-0.15981735,0.1771094,-0.021586686,149.99939,37.063427,1.906713872182151,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.66687885009966,46.66761375730176]}"
00000000000000001791_0,1479.1771,0.5754610368787212,0.38774571522112666,0.4440678,0.26244345,0.57315725,0.027890360224459974,9.440078961222564E-4,0.0013682986951879528,0.36200717,0.6910865,-0.06261915,146.13312,36.978912,0.3544939736408607,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.66831615455426,46.67084769232459]}"
00000000000000001793_0,1833.3716,0.4564623211885205,0.3147451218082387,0.2627866,0.33489645,0.4063815,0.03341992490609879,0.006258330228826159,0.011126762417711267,0.29061785,0.54010797,-0.33271244,77.14765,18.548811,1.2363618824825267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.66310592590636,46.708307439672375]}"
00000000000000001794_0,1837.6206,0.002078522718833533,8.436002588266822E-4,-0.6164383,0.29557154,0.46367103,0.09683622950681799,0.028611084031934686,0.004253014118736631,-0.6296296,0.004604855,0.03171528,76.727745,5.177842,0.17099109217843708,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.66418390424731,46.708037945087135]}"
00000000000000001797_0,1809.2332,0.7443181685490801,0.5121609433394361,0.24793388,0.2445712,0.5311635,0.051516088347521985,9.947857783663139E-4,0.005652910476809436,0.18051577,0.6658089,-0.368388,98.690834,20.602488,2.416460305139914,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.66553137717348,46.7100142387122]}"
00000000000000001799_0,1716.4071,0.23116102640101613,0.13085070476292004,0.2804878,0.31220096,0.42946845,0.027221580149728274,0.0021027245724832833,0.0017694625226968297,0.02631579,0.46148568,0.04076957,93.86053,39.088047,1.632619569056109,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.68134172617398,46.71243968997932]}"
0000000000000000179c_0,1749.1204,0.38742925986155385,0.25104535767399827,0.36702126,0.29702213,0.46486515,0.04086279306954874,0.002190013471585095,0.0014966185921216901,0.26086956,0.5627914,-0.46171054,117.66969,39.993023,6.392319768091155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.68736043857758,46.727172060638885]}"
0000000000000000179d_0,1674.347,0.676087215519108,0.4547364517667951,0.45531914,0.24964608,0.6591263,0.030287820705971868,1.5159806948794596E-4,2.6952064245633345E-4,0.4556962,0.7233449,-0.60075617,196.99815,41.90082,2.580257599042109,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.68700111246395,46.72986700649124]}"
0000000000000000179e_0,1823.0327,0.3489751109926767,0.21720509308685465,0.14893617,0.31420305,0.33927897,0.06735127203309003,0.0014396846688353726,7.150889000266808E-4,0.02,0.4747845,-0.19763169,116.99869,38.652634,5.065785051639461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.69059437360042,46.7325619523436]}"
000000000000000017a2_0,1938.123,0.1279247092852016,0.07525988881021417,-0.0647482,0.34481508,-0.0056175417,0.027917696228599943,0.005582957813169672,0.0026212931470348836,-0.15137614,0.19502403,-0.0061105452,113.83279,64.311295,7.183404471429503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.67433486695785,46.74639600771904]}"
000000000000000017b8_0,1396.6382,0.09093837224418957,0.048336598325337876,-0.45454547,0.36090225,0.7323383,0.046841467432819105,6.692406161856734E-4,0.0016983894590185122,-0.42857143,0.31371242,0.20112142,120.57917,69.69119,9.21493661109365,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.9497583330689,46.71136171163838]}"
000000000000000017bc_0,391.43924,0.4204775588066206,0.2699525318478174,-0.14049587,0.28874537,0.44421157,0.024687598389256927,0.007710461308871347,0.006884608561235683,-0.30991736,0.6045858,0.1922906,91.04275,28.383905,0.8600130444104264,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.0015911249626,46.54158012293979]}"
000000000000000017bd_0,958.14215,0.08750487684818392,0.0472619632776321,-0.2857143,0.35533202,0.793262,0.03183066739934605,1.5284979820862077E-4,1.9841744346549284E-4,-0.29577464,0.3261792,0.18667229,222.63664,46.16952,7.788908003138992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.94311079996642,46.57966869098646]}"
000000000000000017be_0,896.3993,0.07802565062151785,0.05703251136420617,-0.31797236,0.35986274,0.19327426,0.013192252887430912,9.803509374169406E-4,0.0011014381307546811,-0.24500908,0.11537778,0.008586064,83.53187,23.326296,3.3546878501899524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.98272650399609,46.592873925663014]}"
000000000000000017bf_0,619.5468,0.06734006624133453,0.040118004599137946,-0.28455284,0.34973744,0.041259084,0.018882574224621786,0.0018637670168666284,0.0015553560605742435,-0.28842106,0.1045533,0.022054426,43.07363,24.473974,0.508627127342106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.18134401331491,46.66213403406863]}"
000000000000000017c3_0,825.6818,0.4366620662119467,0.2706817370608335,0.43462896,0.30144092,0.7018802,0.03126081339355332,4.915306598318736E-4,4.972093051542337E-4,0.43421054,0.649112,-0.048755527,168.0744,41.871204,1.6629331225674708,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.34097463930296,46.62907603161303]}"
