system:index,Presence,layer,path,.geo
00000000000000001dc1,,,,"{""type"":""Point"",""coordinates"":[-121.27113470275016,46.677397162759796]}"
0000000000000000178f,0,,,"{""type"":""Point"",""coordinates"":[-121.66852978863326,46.66665964742309]}"
00000000000000001790,0,,,"{""type"":""Point"",""coordinates"":[-121.66687100304135,46.66764064965485]}"
00000000000000001791,0,,,"{""type"":""Point"",""coordinates"":[-121.66832912908586,46.67085120241333]}"
00000000000000001793,0,,,"{""type"":""Point"",""coordinates"":[-121.66312981725757,46.70832548766649]}"
00000000000000001794,0,,,"{""type"":""Point"",""coordinates"":[-121.6642267561167,46.70799551418853]}"
00000000000000001797,0,,,"{""type"":""Point"",""coordinates"":[-121.66554665002849,46.70999765056153]}"
00000000000000001799,0,,,"{""type"":""Point"",""coordinates"":[-121.68133632685874,46.712450156140925]}"
0000000000000000179c,0,,,"{""type"":""Point"",""coordinates"":[-121.68739624519039,46.727183026021514]}"
0000000000000000179d,0,,,"{""type"":""Point"",""coordinates"":[-121.68701722160084,46.72984956845147]}"
0000000000000000179e,0,,,"{""type"":""Point"",""coordinates"":[-121.69055774783729,46.73256962009407]}"
000000000000000017a2,0,,,"{""type"":""Point"",""coordinates"":[-121.67436675191222,46.74639283335976]}"
000000000000000017b8,0,,,"{""type"":""Point"",""coordinates"":[-121.94977421027619,46.71135321728177]}"
000000000000000017bc,0,,,"{""type"":""Point"",""coordinates"":[-122.00159788271934,46.54158186287393]}"
000000000000000017bd,0,,,"{""type"":""Point"",""coordinates"":[-121.94310785420132,46.579702717779845]}"
000000000000000017be,0,,,"{""type"":""Point"",""coordinates"":[-121.98272696706117,46.59289273869593]}"
000000000000000017bf,0,,,"{""type"":""Point"",""coordinates"":[-122.18137545989111,46.66215149625805]}"
000000000000000017c3,0,,,"{""type"":""Point"",""coordinates"":[-122.34101573670554,46.62904267093623]}"
000000000000000017c4,0,,,"{""type"":""Point"",""coordinates"":[-122.37298303215768,46.79112207602687]}"
000000000000000017ca,0,,,"{""type"":""Point"",""coordinates"":[-121.9026102984339,46.780103637323805]}"
000000000000000017cb,0,,,"{""type"":""Point"",""coordinates"":[-121.90030494318924,46.781949705159924]}"
000000000000000017cc,0,,,"{""type"":""Point"",""coordinates"":[-121.89404436531022,46.78600302801752]}"
000000000000000017cd,0,,,"{""type"":""Point"",""coordinates"":[-121.89902964028798,46.77463677943229]}"
000000000000000017ce,0,,,"{""type"":""Point"",""coordinates"":[-121.90221789754119,46.775403744813474]}"
000000000000000017cf,0,,,"{""type"":""Point"",""coordinates"":[-121.89614906100748,46.772933402829864]}"
000000000000000017d0,0,,,"{""type"":""Point"",""coordinates"":[-121.89336212284907,46.77508268953763]}"
000000000000000017d4,0,,,"{""type"":""Point"",""coordinates"":[-121.8549960173852,46.795148644278136]}"
000000000000000017ea,0,,,"{""type"":""Point"",""coordinates"":[-121.69274270735349,46.82566227278687]}"
000000000000000017ed,0,,,"{""type"":""Point"",""coordinates"":[-121.40955857675229,46.95332187684596]}"
000000000000000017ee,0,,,"{""type"":""Point"",""coordinates"":[-121.40779723183617,46.95560493658533]}"
000000000000000017ef,0,,,"{""type"":""Point"",""coordinates"":[-121.40304383011319,46.95720575386352]}"
