system:index,elevation,evi,msavi2,naip_NDVI,nbi,nbr,nbr_max_var,nbr_var_median,nbr_var_pct,nd_median,ndvi,ndvi_diff,roughness,slope,tri,.geo
00000000000000000001_0,2029.0281,0.2533454827643832,0.15383723392522647,0.39869282,0.30495554,0.5750988,0.05998199409716807,5.460250994481775E-4,7.760689998840831E-4,0.39869282,0.56581986,-0.24828894,133.3499,36.853386,1.2078162669593535,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.77601958283833,48.88258975335526]}"
00000000000000000002_0,1491.2898,0.33299153332417863,0.21649475204814245,0.17948718,0.32347828,0.30951366,0.03804713503425504,0.006098150073495158,0.005962455708910068,0.21008404,0.46963587,-0.14084825,93.92861,22.737146,0.294771005321382,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.61674828296394,48.96002453084637]}"
00000000000000000003_0,1418.4263,0.4146425290329724,0.26306951596215067,0.5322581,0.24149661,0.5831286,0.01704119880343903,8.917734239148323E-4,6.038242922960513E-4,0.3968254,0.6691958,-0.23231697,131.09161,21.491713,0.960929427326259,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05602445689838,48.865701426013814]}"
00000000000000000004_0,2196.176,0.3219886727948234,0.2216253531317841,0.27828747,0.32931423,0.17894737,0.05689168402387377,9.184643480396465E-4,5.970546373021413E-4,0.07720588,0.4471698,-0.15839693,115.258064,36.03641,0.5648515140935348,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.83944064189717,48.83183493980251]}"
00000000000000000005_0,1670.9493,0.35300719135521375,0.22014323761955878,0.57831323,0.29903537,0.7862674,0.04357861536943813,2.758431706046949E-4,4.42310869274376E-4,0.5686275,0.6862745,-0.11305183,72.89913,22.073683,0.6658125114115236,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.95173005241212,48.83372140189916]}"
00000000000000000006_0,1441.4412,0.3989176809486836,0.24950291822021325,0.46341464,0.2623915,0.56660724,0.006529541866758397,5.166524920854343E-4,0.0018519357788506219,0.42857143,0.6020325,-0.25273946,60.910507,13.280836,0.3896319553733529,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.68636771748321,48.85761658845674]}"
00000000000000000007_0,1702.814,0.05029859064967979,0.031335659158943985,0.5707317,0.40644038,0.05815752,0.04132025224014122,0.03653612585161406,0.0454953875899721,0.55445546,0.10379862,0.042516284,135.22696,28.22836,0.3779875864852999,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.68519990761385,48.937746311800204]}"
00000000000000000008_0,1112.4952,0.40973871061383704,0.2511780970537263,0.3140496,0.27147764,0.6750748,0.019852723458018966,1.1161888640826012E-4,2.4477689405028036E-4,0.4011976,0.6381323,-0.023625553,199.92473,21.491594,1.3396753904657481,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.95945556385554,48.956610932766715]}"
00000000000000000009_0,584.618,0.32696145231476265,0.1879265600833085,0.408,0.3060976,0.71868366,0.018482183340884997,4.2720510273897006E-4,3.3898892424888416E-4,0.44444445,0.59728944,0.0056702495,65.16947,9.803225,0.635325404490718,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.06572626196689,48.99011809286437]}"
0000000000000000000a_0,1330.8817,0.1219747373806245,0.07734224582739913,0.51578945,0.38447142,0.045753855,0.036973926399327096,0.030582895910891805,0.04034877769012782,0.5,0.24330324,-0.062227324,66.95877,18.532057,1.3654237861444318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.6690302324997,48.99083674509166]}"
0000000000000000000b_0,1512.2611,0.3786719246264246,0.23732284105871237,0.63793105,0.29719135,0.7720667,0.03862872636203455,3.427105535178665E-4,7.564810984561632E-4,0.6333333,0.65847105,-0.16580096,63.663757,14.436981,1.3543144301391101,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.67010821084064,48.85914372443975]}"
0000000000000000000c_0,1401.5477,0.20782554247421317,0.1207806799545913,0.48356807,0.32058048,0.65524405,0.02178707298651567,0.0010796609045564676,0.0010492991747561575,0.42696628,0.50039905,0.1875202,130.51991,30.294552,0.25438815143365906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.8914530968477,48.88205076418479]}"
