system:index,elevation,evi,msavi2,naip_NDVI,nbi,nbr,nbr_max_var,nbr_var_median,nbr_var_pct,nd_median,ndvi,ndvi_diff,roughness,slope,tri,.geo
00000000000000000000_0,1055.02,0.31530538171038064,0.1957519009619807,0.29787233,0.3341693,0.18355207,0.030871122620019623,0.002043114973422744,0.0023244725620048534,-0.123893805,0.44857594,-0.24640079,261.12933,40.7564,3.8639393832562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.55800303766438,47.75987531126268]}"
00000000000000000001_0,924.5122,0.4548419385857888,0.2834598728529937,0.31914893,0.30417496,0.78479195,0.031219435059455784,6.281166373338642E-4,6.211354115990275E-4,0.5135135,0.7039639,-0.14848304,62.37517,17.442179,0.5334928111103806,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.68969148403446,47.31062783767451]}"
00000000000000000002_0,589.13696,0.21140207060488458,0.144487008618842,0.3716475,0.3670228,0.12712665,0.01705073373235199,6.118003375307907E-4,4.357950681870802E-4,0.017667845,0.2820665,0.013236642,5.9840674,2.6883345,0.6488369353857729,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.95406567215082,47.18342639344319]}"
00000000000000000003_0,922.32764,0.28045207894347157,0.17171927859330943,0.3592233,0.32356533,0.5097428,0.040048614515315106,9.0058114557523E-4,0.016890809779189442,0.25,0.5243956,0.117541105,129.1882,39.7815,0.4514425605745825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.64261976314658,47.40054919761488]}"
00000000000000000004_0,1075.718,0.4806515992062568,0.3120522428574957,0.5625,0.28741094,0.7015707,0.036709233901126126,4.84583441372477E-4,0.001025170176816692,0.4774775,0.6779734,-0.056122184,59.32547,22.063412,0.6892140721861892,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.6021057438328,47.352040172272424]}"
00000000000000000005_0,361.96884,0.5771860011502032,0.3637872311812778,0.5362319,0.27707455,0.777628,0.045372469391695765,2.397754875529401E-4,0.014515396528662627,0.5362319,0.73907316,0.021884024,20.74852,17.068449,0.541882396378183,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.71287259264659,47.61425840370691]}"
00000000000000000006_0,1259.3031,0.4749103949382317,0.30834946981132194,0.548718,0.2681735,0.7558362,0.05121774686285937,1.1604971054501867E-4,2.4949734094192877E-4,0.51666665,0.7068323,-0.038520455,99.8568,24.99568,0.9548278924276192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.20011422847116,47.397584757177285]}"
00000000000000000008_0,643.1268,0.49166378209172845,0.32820296593413456,0.42857143,0.2963694,0.32683566,0.006268752713715998,5.414550728805034E-4,7.510183147935723E-4,0.33029613,0.5777058,-0.003387928,59.092064,30.440231,0.3656033844074661,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.68807451652303,47.6682471522825]}"
00000000000000000009_0,1071.4434,0.7089308434941477,0.4910460047474144,0.4952381,0.24064766,0.7621413,0.005426867001119239,5.413027437892737E-4,6.28810608911401E-4,0.52,0.78207487,-0.075313866,107.83244,17.722342,0.4198753504871804,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.11405562425252,47.26256796997412]}"
0000000000000000000a_0,589.2477,0.5976668397462648,0.3827277447602527,0.5652174,0.26321647,0.81878674,0.04702488760793923,8.54762345854354E-5,5.842658269883394E-5,0.5132275,0.75699097,0.00783962,84.63703,21.415142,3.3037651475411094,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.78195303799538,47.35859787384649]}"
0000000000000000000b_0,1566.3892,0.39291432749021304,0.25490028093509104,0.3580247,0.3063063,0.6081345,0.028839950658054152,0.012204857912915257,0.022310509649989096,0.4654088,0.6220117,-0.25225347,122.08943,24.10065,0.9541875103284896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.99790345801586,47.372072603108286]}"
0000000000000000000c_0,1518.0552,0.5384573317686394,0.3580765228943511,-0.08108108,0.23181257,0.7864672,0.06567144363358916,2.246182176923739E-4,0.031525098913986915,-0.11111111,0.72605634,-0.28275755,84.28012,44.208252,0.6544089393294625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.45155267649622,47.30658541889598]}"
0000000000000000000d_0,928.24994,0.30645937551764213,0.1869955932165937,-0.11627907,0.3083434,0.63425416,0.02347977983266747,2.9925269617159245E-4,0.011185680622049998,-0.03448276,0.5532516,0.09389919,122.10849,27.372652,4.576333202055643,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.15187469771394,47.179204311607826]}"
0000000000000000000e_0,657.93823,0.42337313032051177,0.30822222916403264,0.24060151,0.35929203,0.44829127,0.03147664263804306,0.007621108619088823,0.005672429016726432,0.21052632,0.4630125,0.28063735,17.037937,3.3860056,0.10448895245650604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.9230737948487,47.16132783745385]}"
0000000000000000000f_0,241.34003,0.4632964853124528,0.3066189436206155,0.30514705,0.32178748,0.47569662,0.023411255493025602,0.004897466440364817,0.008292379472805034,0.30405405,0.5462287,0.19273686,28.789463,7.7544203,0.955405540238659,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.89388312239667,47.49595028078837]}"
00000000000000000010_0,1814.4923,0.347409812099074,0.22930343862353192,0.21518987,0.3051643,0.35406667,0.05841835577141696,4.8482757038768864E-4,0.0037883380171048475,0.19172932,0.5480644,-0.42292732,73.05069,17.6888,0.49211012247998287,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.98847114753261,47.57967326526831]}"
00000000000000000011_0,1328.4193,0.19223838302046087,0.11549129305798006,-0.04109589,0.3416621,0.42105263,0.012786802319055697,7.767940461149703E-4,8.407567662755411E-4,0.3359375,0.38562092,0.027358353,159.67839,45.425144,1.1265468466131914,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05791091899503,47.42183926984851]}"
00000000000000000012_0,1197.406,0.4402311873367706,0.27480286810577365,0.5217391,0.28698978,0.6789946,0.06942257383759325,5.263690964936174E-4,0.025497157011001692,0.42702702,0.69916433,-0.413563,99.19468,8.368565,0.540941942627831,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.49979220725344,47.51113180908999]}"
00000000000000000013_0,1747.2307,0.565249019318349,0.3881930325902464,0.50476193,0.27360192,0.71864,0.045259358409062644,5.716218848599297E-4,0.004612489209844917,0.52577317,0.745127,-0.31194025,143.1643,39.681343,0.9106088952742046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.1996650708291,47.614797392877385]}"
00000000000000000014_0,723.4543,0.5059523619302702,0.31370587082934337,0.55172414,0.28009126,0.76827896,0.02779710264400738,1.7322125887586637E-4,1.866817318894043E-4,0.51057404,0.69577694,-0.046949983,104.44175,26.987051,1.5076436825218968,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56563871757939,47.672469234117855]}"
00000000000000000015_0,583.3019,0.35581060118428715,0.20775436481121695,0.5416667,0.30522215,0.81685245,0.036162302791174813,1.4988982853703092E-4,0.005384912250675722,0.4945055,0.6582977,0.016964495,191.04204,45.5566,1.6472869881711854,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.38175357892013,47.683877838226174]}"
00000000000000000016_0,1603.8218,0.3494903816396958,0.24351216806055054,0.20769231,0.3342131,0.23980497,0.049217354328743204,0.00154072480813211,0.0015072611093386312,0.18959108,0.4331371,-0.2239512,146.9499,27.45266,3.0964550169527265,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.0688703654613,47.491997693538245]}"
00000000000000000017_0,921.15106,0.25460673079889784,0.1750089232026385,-0.0033444816,0.37102884,0.28698665,0.014603512104845597,0.0011208014309853631,0.0012139855148816103,0.16783217,0.32672706,0.09484857,57.914394,10.013246,1.0956505654421589,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.80090291620844,47.095481327127885]}"
00000000000000000018_0,256.94012,0.6605690774371611,0.43506980691243136,0.48466256,0.26805386,0.68562424,0.02410912030724995,4.744322994214567E-4,3.7934633563074804E-4,0.46530613,0.7457758,0.14306563,39.977005,0.28179693,0.3528136652753056,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.48335303755404,47.758976995978564]}"
00000000000000000019_0,559.5106,0.44661176411967995,0.268337946485931,0.5107296,0.30367625,0.7567552,0.04696322901910388,7.916450796274788E-5,1.2343013084148424E-4,0.557423,0.6677149,-0.0834257,70.635086,18.899998,0.5312445127734201,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.2282314968641,47.70930016076676]}"
0000000000000000001a_0,1373.0818,0.6325254840806215,0.42784577231288023,0.45833334,0.23940784,0.7217676,0.02657561002906939,4.033456709711114E-4,6.404625644307327E-4,0.48768473,0.72766525,-0.03812313,171.91599,40.48317,1.1793319093914745,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5769574901593,47.43504450452507]}"
0000000000000000001b_0,1568.7633,0.47762612640622865,0.31817472160175586,0.46568626,0.2791932,0.5799481,0.02022649617300276,5.027687589133634E-4,5.198834731083846E-4,0.23287672,0.6662777,-0.4272676,66.95085,26.072132,1.9435110148014716,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.18717848837984,47.464509245844184]}"
0000000000000000001c_0,1643.6832,0.49500373875001025,0.3496225289732353,0.19727892,0.28346136,0.42636016,0.02691549748470125,0.0010430926215936331,0.0016142984104952074,0.19727892,0.6227932,-0.1590988,105.82973,23.9168,0.344734291433186,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.78230778982717,47.6322247093893]}"
0000000000000000001d_0,1160.9994,0.2979032505160275,0.1966513293755055,0.14102565,0.33837932,0.38497186,0.01163561755728018,8.581131355582805E-4,6.943030029304964E-4,0.31782946,0.4421922,0.066404045,41.924637,11.710394,1.5697974367540626,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.80027409550956,47.056404612268686]}"
0000000000000000001e_0,638.03345,0.4921483828698796,0.3105122614892361,0.4698795,0.28507796,0.7444405,0.03401748128429135,2.7305304247082773E-4,2.7432655600279077E-4,0.48205128,0.68252665,-0.007490933,93.45938,26.562843,0.4583006099704864,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.59007289330745,47.357519895505554]}"
0000000000000000001f_0,1812.1726,0.5029105207472164,0.3608773854694191,0.296,0.30969843,0.3816602,0.0344514418753862,0.0015283889498820258,0.0011327148051506891,0.28467155,0.5971069,-0.19504443,24.63734,5.4884276,0.21223493197533233,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.56329852355883,47.235888006035765]}"
00000000000000000020_0,1187.544,0.8202938485290827,0.5847293766794376,0.43096235,0.23889828,0.8051948,0.01647576444132204,1.8388886669096216E-4,0.008656091242770891,0.49377593,0.81990767,-0.1579709,137.48627,21.865284,2.4148275407244535,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.1394779467931,47.32023981121459]}"
00000000000000000021_0,975.0609,0.45145684873463515,0.2963219148836524,0.26984128,0.2631579,0.52124894,0.004727086936608477,0.003986988619332998,0.00535839271437244,0.22362868,0.653277,0.0037215352,80.13665,41.200115,3.691837914096097,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.70738829513161,47.281702085525865]}"
00000000000000000022_0,363.2275,0.3415669213842681,0.20586784341478392,-0.21498372,0.3333333,0.49174088,0.006943406064969407,0.00294826872138948,0.0031609764640702642,0.26041666,0.38201866,-0.05755967,43.026062,21.91028,0.8932609239087634,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.73335418112451,47.64300449279874]}"
00000000000000000023_0,1125.5017,0.46754245701797953,0.31617958641110017,0.05699482,0.29366896,0.3630823,0.06512849024349884,0.019466598116644626,0.025042233226350658,0.08730159,0.56559765,-0.15898958,145.54118,29.217554,1.222935028281698,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.04138191776724,47.340811231220925]}"
00000000000000000024_0,1622.1926,0.2880782025581252,0.18851283475248287,0.24637681,0.33295962,0.57416064,0.020328580546102766,0.0013093034255033942,0.0010258644179174103,0.40425533,0.50845134,-0.14517346,94.33405,21.127045,1.417685116865105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.01308498631748,47.049487584580966]}"
00000000000000000025_0,148.97423,0.4564589407505988,0.26232184838419037,0.1008547,0.31943128,0.69042057,0.01907901678024692,1.3540173067361216E-4,4.0541941409827364E-4,0.4618834,0.5946364,-0.1087836,39.56123,18.575974,0.9957168483208811,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.82381453023534,47.51283860812982]}"
00000000000000000026_0,1606.2284,0.27697573969463407,0.1749653257226892,-0.033639144,0.3428458,0.16430509,0.04033614609991295,3.655288917938926E-4,7.458649757202639E-4,0.05788423,0.38181818,-0.03288549,173.97441,49.33926,2.135410221931387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.04425652667642,47.56485106308034]}"
00000000000000000027_0,1210.002,0.4514946389690756,0.289835538404232,0.44864866,0.2820816,0.6349024,0.017484052903698196,6.326314852769244E-4,4.102387137736585E-4,0.4251497,0.6518856,-0.020417213,111.27888,25.134426,2.1361655531913226,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.22176362681844,47.339823084408394]}"
00000000000000000028_0,1889.3333,0.22671158610477707,0.13984225232237713,0.09756097,0.33634672,0.35371178,0.025943737910675873,0.0017853344897824086,0.006801294316834683,0.14285715,0.43304008,-0.32355654,214.26552,38.491627,3.0093694201168595,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.03617168911934,47.57706815094436]}"
00000000000000000029_0,954.71265,0.7324809228950697,0.5023321051189373,0.4314721,0.23360854,0.6352146,0.03744039341981201,3.9916600367678745E-4,0.009933750029055444,0.33936653,0.7482035,-0.119479835,68.09757,14.089556,1.5182586517076895,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62142409672322,47.58964456492203]}"
0000000000000000002a_0,1125.5107,0.44706430946888964,0.2792755024494418,0.37931034,0.27771154,0.72964036,0.05510790071655558,1.4199659428526523E-4,0.0029824107660116894,0.48965517,0.6477702,-0.010269403,158.19887,17.968533,2.475901402639651,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.25284533564897,47.6119227839682]}"
0000000000000000002b_0,769.697,0.6245471242070495,0.40515400265901264,0.57615894,0.25089604,0.8128495,0.030034142922753644,1.163072645340435E-4,0.008659199668468953,0.5934066,0.7823489,0.0015076995,81.13111,31.692364,0.23258270091879446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.81608901879191,47.439985238587724]}"
0000000000000000002c_0,601.4024,0.4721290446083893,0.29613879538176807,0.4456522,0.284962,0.7510638,0.03733855226927559,7.519097258046337E-5,0.00249861375607896,0.46892655,0.6973321,-0.006734729,17.261162,6.832396,0.7327917648268193,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.461973133792,47.3969559364784]}"
0000000000000000002d_0,1119.9194,0.45591937793838133,0.29500246530099217,0.5153061,0.29582575,0.70523846,0.016726612576725586,0.0010290043075035782,0.0014374672122600685,0.4742268,0.6883239,-0.15719378,59.474827,18.672495,0.14823976935187672,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.923792447076,47.12629354137319]}"
0000000000000000002e_0,1097.9894,0.3373403916864445,0.2115282422522558,0.07936508,0.29542926,0.4719784,0.017438155169427302,1.764264032193541E-4,9.02773088497788E-4,0.21290323,0.54239696,-0.02060479,90.685425,31.054222,1.1813267203231446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.63157048515191,47.383930364858664]}"
