system:index,Presence,.geo
00000000000000000000,0,"{""type"":""Point"",""coordinates"":[-121.55800650992254,47.75990637089853]}"
00000000000000000001,0,"{""type"":""Point"",""coordinates"":[-120.68968576178503,47.310585053248055]}"
00000000000000000002,0,"{""type"":""Point"",""coordinates"":[-120.95409261785018,47.18338473659745]}"
00000000000000000003,0,"{""type"":""Point"",""coordinates"":[-120.64257535915536,47.40056971250658]}"
00000000000000000004,0,"{""type"":""Point"",""coordinates"":[-120.60207780338798,47.35205915214614]}"
00000000000000000005,0,"{""type"":""Point"",""coordinates"":[-121.71290230321611,47.6142319985835]}"
00000000000000000006,0,"{""type"":""Point"",""coordinates"":[-121.20012797757506,47.39762670581131]}"
00000000000000000008,0,"{""type"":""Point"",""coordinates"":[-120.68805818990052,47.66820941683546]}"
00000000000000000009,0,"{""type"":""Point"",""coordinates"":[-121.11404949083938,47.26252486209402]}"
0000000000000000000a,0,"{""type"":""Point"",""coordinates"":[-121.78191135111925,47.358640785301034]}"
0000000000000000000b,0,"{""type"":""Point"",""coordinates"":[-120.99787207199289,47.372111729583494]}"
0000000000000000000c,0,"{""type"":""Point"",""coordinates"":[-121.4515454722715,47.306558484996785]}"
0000000000000000000d,0,"{""type"":""Point"",""coordinates"":[-121.15191171788419,47.17919764070826]}"
0000000000000000000e,0,"{""type"":""Point"",""coordinates"":[-120.92310632462979,47.16135231829238]}"
0000000000000000000f,0,"{""type"":""Point"",""coordinates"":[-121.89388383767232,47.49593650673663]}"
00000000000000000010,0,"{""type"":""Point"",""coordinates"":[-120.98843661416382,47.57962937440876]}"
00000000000000000011,0,"{""type"":""Point"",""coordinates"":[-121.05790049037441,47.421812869925205]}"
00000000000000000012,0,"{""type"":""Point"",""coordinates"":[-121.49975727286137,47.51113758222783]}"
00000000000000000013,0,"{""type"":""Point"",""coordinates"":[-121.19970882207609,47.61478492711413]}"
00000000000000000014,0,"{""type"":""Point"",""coordinates"":[-121.56566724553237,47.6724589401394]}"
00000000000000000015,0,"{""type"":""Point"",""coordinates"":[-121.38178283629034,47.6839143707457]}"
00000000000000000016,0,"{""type"":""Point"",""coordinates"":[-121.06887879716795,47.49195898859697]}"
00000000000000000017,0,"{""type"":""Point"",""coordinates"":[-120.80090911936112,47.09546464112666]}"
00000000000000000018,0,"{""type"":""Point"",""coordinates"":[-121.48338791289419,47.75895212327309]}"
00000000000000000019,0,"{""type"":""Point"",""coordinates"":[-121.2282470688181,47.70927327843665]}"
0000000000000000001a,0,"{""type"":""Point"",""coordinates"":[-121.57694877119758,47.435002890841304]}"
0000000000000000001b,0,"{""type"":""Point"",""coordinates"":[-121.18718766631798,47.46453997621932]}"
0000000000000000001c,0,"{""type"":""Point"",""coordinates"":[-120.7823012906651,47.632202175828894]}"
0000000000000000001d,0,"{""type"":""Point"",""coordinates"":[-120.80027592701155,47.05638953859531]}"
0000000000000000001e,0,"{""type"":""Point"",""coordinates"":[-121.59008528290106,47.357552764644]}"
0000000000000000001f,0,"{""type"":""Point"",""coordinates"":[-120.56327916512198,47.23588619240073]}"
00000000000000000020,0,"{""type"":""Point"",""coordinates"":[-121.13951987605667,47.32027467983719]}"
00000000000000000021,0,"{""type"":""Point"",""coordinates"":[-120.70735272015878,47.28168561932067]}"
00000000000000000022,0,"{""type"":""Point"",""coordinates"":[-121.7333918725567,47.64298874127718]}"
00000000000000000023,0,"{""type"":""Point"",""coordinates"":[-121.04135722546611,47.34077762648093]}"
00000000000000000024,0,"{""type"":""Point"",""coordinates"":[-121.01312219759568,47.04949130926564]}"
00000000000000000025,0,"{""type"":""Point"",""coordinates"":[-121.82382244192054,47.51281420422393]}"
00000000000000000026,0,"{""type"":""Point"",""coordinates"":[-121.0442199683424,47.56483853621448]}"
00000000000000000027,0,"{""type"":""Point"",""coordinates"":[-121.22172340397691,47.339854592562865]}"
00000000000000000028,0,"{""type"":""Point"",""coordinates"":[-121.03619358644623,47.577109982313566]}"
00000000000000000029,0,"{""type"":""Point"",""coordinates"":[-121.62146843611518,47.58961330166743]}"
0000000000000000002a,0,"{""type"":""Point"",""coordinates"":[-121.2528256338247,47.6119043478336]}"
0000000000000000002b,0,"{""type"":""Point"",""coordinates"":[-121.81605468788545,47.4399926249201]}"
0000000000000000002c,0,"{""type"":""Point"",""coordinates"":[-121.46199314603977,47.39697567705751]}"
0000000000000000002d,0,"{""type"":""Point"",""coordinates"":[-120.92383315810149,47.12630378401229]}"
0000000000000000002e,0,"{""type"":""Point"",""coordinates"":[-120.63157029775546,47.38395064288039]}"
0000000000000000002f,0,"{""type"":""Point"",""coordinates"":[-121.09476387878321,47.15290678089715]}"
00000000000000000030,0,"{""type"":""Point"",""coordinates"":[-120.87518882470945,47.422660099125366]}"
00000000000000000031,0,"{""type"":""Point"",""coordinates"":[-121.49675629785246,47.46203842052834]}"
00000000000000000032,0,"{""type"":""Point"",""coordinates"":[-120.80449423660811,46.98144542719005]}"
00000000000000000033,0,"{""type"":""Point"",""coordinates"":[-120.9140900222997,47.151814301139055]}"
00000000000000000034,0,"{""type"":""Point"",""coordinates"":[-121.58187607786166,47.50128296889971]}"
00000000000000000035,0,"{""type"":""Point"",""coordinates"":[-121.58929156291352,47.713362274102664]}"
00000000000000000036,0,"{""type"":""Point"",""coordinates"":[-120.83507029253158,47.358640785301034]}"
00000000000000000037,0,"{""type"":""Point"",""coordinates"":[-120.64667327302347,47.500908404411234]}"
00000000000000000038,0,"{""type"":""Point"",""coordinates"":[-120.91270324187207,47.26704193146115]}"
00000000000000000039,0,"{""type"":""Point"",""coordinates"":[-121.45425660571202,47.50657146274911]}"
0000000000000000003a,0,"{""type"":""Point"",""coordinates"":[-121.82182476464861,47.481827911003535]}"
