system:index,elevation,evi,msavi2,naip_NDVI,nbi,nbr,nbr_max_var,nbr_var_median,nbr_var_pct,nd_median,ndvi,ndvi_diff,roughness,slope,tri,.geo
00000000000000001243_0,923.88513,0.31259611273949656,0.20124451373086638,-0.052941177,0.33782798,0.23853272,0.008386314909526398,0.12966384124114555,0.1340451900906864,-0.035812672,0.41230303,-0.068209976,83.650604,19.802206,0.8608926378238658,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.01326922365615,46.40818030324804]}"
00000000000000001244_0,783.07947,0.2315564175661415,0.14558733028675452,0.04040404,0.35535777,0.16829471,0.013463858038158668,0.14059120114682197,0.14434140024110015,-0.005235602,0.32874027,-0.026653796,89.91193,32.732098,1.6678640135177785,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.00743017430938,46.40871929241851]}"
00000000000000001245_0,886.2491,0.3152866049070932,0.2049625836455664,0.02173913,0.3451394,0.28136736,0.011546704453467355,0.11068200331587927,0.11402151631743712,0.0,0.4193542,-0.04144734,97.01155,14.38358,1.0250707090488655,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.0151556857528,46.41276171119705]}"
00000000000000001249_0,1102.1875,0.2502137250107514,0.16376823784967487,0.007633588,0.34779492,0.22937031,0.0561485188882506,0.11935359470785992,0.10924845934286154,0.17610063,0.3607212,-0.063619584,99.09834,20.178905,0.5531551431593364,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.31743877885903,46.330206536586466]}"
0000000000000000124a_0,1140.8502,0.24524226863136575,0.15774160764874912,0.27508092,0.33941814,0.27754727,0.05015114197512016,0.11059554701191066,0.10307730225361764,0.26726726,0.36108413,0.011793792,64.88544,24.618296,1.4148621147000568,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.31528282217714,46.3289488951887]}"
0000000000000000124b_0,1142.5262,0.2609719681749356,0.17061465386363128,0.32095492,0.34838113,0.24132615,0.0447545913235193,0.10552025945417337,0.09737703878166605,0.20945945,0.3501034,-4.3943524E-4,86.49205,21.662247,0.474172627036186,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.3179777680295,46.32930822130235]}"
0000000000000000124c_0,741.48126,0.3276885653454737,0.20894716670213626,0.18852459,0.34698892,0.2678008,0.03449555275260482,0.0653882327668899,0.044993436385693183,0.26041666,0.43899858,0.057715416,136.35242,31.783098,1.8698318250458383,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.38544124586687,46.046698232918345]}"
0000000000000000124d_0,705.06555,0.373624610363725,0.2394399927171208,-0.22197802,0.32398683,0.42034644,0.01596108752950697,0.013133724539065451,0.013399011249651177,-0.21549636,0.5227687,-0.07450354,75.159615,21.0345,3.0111737049555543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.3766377560825,46.042925308725046]}"
0000000000000000124e_0,150.38364,0.5321220580010441,0.35272452210557576,0.21666667,0.31403762,0.4475496,0.02255116572727811,0.005457385613542698,0.004856861764635095,0.22986248,0.6202798,0.15514153,5.6904593,2.8630066,0.43429284201965845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.75294202860016,46.31233006243249]}"
0000000000000000124f_0,149.47421,0.059398653148322704,0.030652448228257967,-0.8543046,0.27538213,0.7358543,0.05460816109349894,2.5569075927656115E-4,0.00698200045463121,-0.72839504,0.13309984,0.20608921,2.2744298,0.0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.77531007917474,46.30694017072777]}"
