system:index,Presence,layer,path,.geo
00000000000000001243,0,,,"{""type"":""Point"",""coordinates"":[-122.01323613646886,46.40822352766853]}"
00000000000000001244,0,,,"{""type"":""Point"",""coordinates"":[-122.00747051880676,46.408763078896]}"
00000000000000001245,0,,,"{""type"":""Point"",""coordinates"":[-122.01518030452816,46.4127851880462]}"
00000000000000001249,0,,,"{""type"":""Point"",""coordinates"":[-122.31740925572859,46.330220472940596]}"
0000000000000000124a,0,,,"{""type"":""Point"",""coordinates"":[-122.31524213261663,46.32893179273616]}"
0000000000000000124b,0,,,"{""type"":""Point"",""coordinates"":[-122.31795326605712,46.329288520820434]}"
0000000000000000124c,0,,,"{""type"":""Point"",""coordinates"":[-122.38545959690524,46.04669299155829]}"
0000000000000000124d,0,,,"{""type"":""Point"",""coordinates"":[-122.3766350359205,46.04296964217867]}"
0000000000000000124e,0,,,"{""type"":""Point"",""coordinates"":[-122.75292073741656,46.31233055951417]}"
0000000000000000124f,0,,,"{""type"":""Point"",""coordinates"":[-122.77529650650271,46.30691275173424]}"
00000000000000001250,0,,,"{""type"":""Point"",""coordinates"":[-122.70516376513415,46.303706658076806]}"
00000000000000001251,0,,,"{""type"":""Point"",""coordinates"":[-122.7215375842024,46.30898623372409]}"
00000000000000001252,0,,,"{""type"":""Point"",""coordinates"":[-122.64266946387008,46.21937167985298]}"
00000000000000001253,0,,,"{""type"":""Point"",""coordinates"":[-122.67541710200662,46.22352310293375]}"
00000000000000001254,0,,,"{""type"":""Point"",""coordinates"":[-122.72180958936666,46.22050429152056]}"
00000000000000001255,0,,,"{""type"":""Point"",""coordinates"":[-122.77256753665802,46.22881159678313]}"
00000000000000001256,0,,,"{""type"":""Point"",""coordinates"":[-122.75783020767638,46.19179659893848]}"
00000000000000001257,0,,,"{""type"":""Point"",""coordinates"":[-122.79003383548437,46.182352222907284]}"
00000000000000001258,0,,,"{""type"":""Point"",""coordinates"":[-122.8222330041913,46.226167349858436]}"
00000000000000001259,0,,,"{""type"":""Point"",""coordinates"":[-122.68087504169603,46.26466722835389]}"
0000000000000000125a,0,,,"{""type"":""Point"",""coordinates"":[-122.72017309928005,46.25825504103903]}"
0000000000000000125b,0,,,"{""type"":""Point"",""coordinates"":[-122.62793213488847,46.26014124078465]}"
0000000000000000125c,0,,,"{""type"":""Point"",""coordinates"":[-122.59736945626814,46.24655435987479]}"
0000000000000000125d,0,,,"{""type"":""Point"",""coordinates"":[-122.8784488911721,46.37021415028896]}"
0000000000000000125e,0,,,"{""type"":""Point"",""coordinates"":[-122.81623105417337,46.36946056221092]}"
0000000000000000125f,0,,,"{""type"":""Point"",""coordinates"":[-122.71744412943531,46.35477228334087]}"
00000000000000001260,0,,,"{""type"":""Point"",""coordinates"":[-122.81131712481246,46.422158218460545]}"
00000000000000001261,0,,,"{""type"":""Point"",""coordinates"":[-122.87026198163798,46.403719835604555]}"
00000000000000001263,0,,,"{""type"":""Point"",""coordinates"":[-122.1563286892739,46.31194707682358]}"
00000000000000001264,0,,,"{""type"":""Point"",""coordinates"":[-122.21921985053172,46.27195339947522]}"
00000000000000001265,0,,,"{""type"":""Point"",""coordinates"":[-122.21734702808926,46.27528434796215]}"
00000000000000001266,0,,,"{""type"":""Point"",""coordinates"":[-122.21640615776698,46.277928594886845]}"
00000000000000001267,0,,,"{""type"":""Point"",""coordinates"":[-122.22988602025154,46.27697434726141]}"
0000000000000000126e,0,,,"{""type"":""Point"",""coordinates"":[-122.20737647813377,46.22595777210893]}"
00000000000000001275,0,,,"{""type"":""Point"",""coordinates"":[-122.15100006351504,46.16572869418004]}"
00000000000000001277,0,,,"{""type"":""Point"",""coordinates"":[-122.15365768774288,46.16362399848281]}"
00000000000000001278,0,,,"{""type"":""Point"",""coordinates"":[-122.16348108736364,46.16315133377114]}"
00000000000000001279,0,,,"{""type"":""Point"",""coordinates"":[-122.16103749998636,46.167427611681404]}"
0000000000000000127a,0,,,"{""type"":""Point"",""coordinates"":[-122.16039093033362,46.147508807275656]}"
0000000000000000127f,0,,,"{""type"":""Point"",""coordinates"":[-122.1445209896844,46.20532551153464]}"
00000000000000001282,0,,,"{""type"":""Point"",""coordinates"":[-122.48029575810993,46.054112935711224]}"
00000000000000001283,0,,,"{""type"":""Point"",""coordinates"":[-122.48348847446417,46.057354702177086]}"
00000000000000001284,0,,,"{""type"":""Point"",""coordinates"":[-122.69043089525354,46.00261477764499]}"
00000000000000001285,0,,,"{""type"":""Point"",""coordinates"":[-122.67518076965078,46.009677993713645]}"
00000000000000001286,0,,,"{""type"":""Point"",""coordinates"":[-122.63095094630168,46.02097289668202]}"
00000000000000001287,0,,,"{""type"":""Point"",""coordinates"":[-122.65331779718572,45.990428054465916]}"
00000000000000001288,0,,,"{""type"":""Point"",""coordinates"":[-122.64442189058411,45.99766963457671]}"
00000000000000001289,0,,,"{""type"":""Point"",""coordinates"":[-122.6889058826933,46.062259713335884]}"
0000000000000000128a,0,,,"{""type"":""Point"",""coordinates"":[-122.77481938269001,46.0329767967179]}"
0000000000000000128b,0,,,"{""type"":""Point"",""coordinates"":[-122.78536961578246,46.06517150632377]}"
0000000000000000128c,0,,,"{""type"":""Point"",""coordinates"":[-122.79807805378479,46.055909953435766]}"
0000000000000000128d,0,,,"{""type"":""Point"",""coordinates"":[-122.37943089228096,45.89144047018047]}"
0000000000000000128e,0,,,"{""type"":""Point"",""coordinates"":[-122.37205553913857,45.87710891939469]}"
0000000000000000128f,0,,,"{""type"":""Point"",""coordinates"":[-122.36849717649794,45.84790180749462]}"
00000000000000001290,0,,,"{""type"":""Point"",""coordinates"":[-122.40357692448538,45.89020529918867]}"
00000000000000001291,0,,,"{""type"":""Point"",""coordinates"":[-122.31816730290765,45.60800217081924]}"
00000000000000001292,0,,,"{""type"":""Point"",""coordinates"":[-122.34918035073439,45.63644677643917]}"
00000000000000001293,0,,,"{""type"":""Point"",""coordinates"":[-122.36544715137737,45.60124663272327]}"
00000000000000001294,0,,,"{""type"":""Point"",""coordinates"":[-122.4630568734373,45.638225957759495]}"
00000000000000001295,0,,,"{""type"":""Point"",""coordinates"":[-122.4350983098322,45.631113691579245]}"
00000000000000001296,0,,,"{""type"":""Point"",""coordinates"":[-122.50728669678642,45.62364915641578]}"
00000000000000001297,0,,,"{""type"":""Point"",""coordinates"":[-122.48746153350281,45.61475770891521]}"
00000000000000001298,0,,,"{""type"":""Point"",""coordinates"":[-122.5225368223892,45.61333525567916]}"
00000000000000001299,0,,,"{""type"":""Point"",""coordinates"":[-122.4813614832617,45.65350729706965]}"
0000000000000000129a,0,,,"{""type"":""Point"",""coordinates"":[-122.49864495894484,45.68867622707818]}"
0000000000000000129b,0,,,"{""type"":""Point"",""coordinates"":[-122.52558684750974,45.70829181261229]}"
0000000000000000129c,0,,,"{""type"":""Point"",""coordinates"":[-122.53982475717343,45.695512028993114]}"
0000000000000000129d,0,,,"{""type"":""Point"",""coordinates"":[-122.16643301226101,45.70963400202937]}"
0000000000000000129e,0,,,"{""type"":""Point"",""coordinates"":[-122.17151638746196,45.71110996447807]}"
0000000000000000129f,0,,,"{""type"":""Point"",""coordinates"":[-122.17788844286731,45.712251494347754]}"
000000000000000012a0,0,,,"{""type"":""Point"",""coordinates"":[-122.17289870878851,45.713196823771085]}"
000000000000000012a1,0,,,"{""type"":""Point"",""coordinates"":[-122.16875174480882,45.7262307761503]}"
000000000000000012a2,0,,,"{""type"":""Point"",""coordinates"":[-122.15889267237966,45.72713151456309]}"
000000000000000012a3,0,,,"{""type"":""Point"",""coordinates"":[-122.08444798029238,45.74217652151742]}"
000000000000000012a4,0,,,"{""type"":""Point"",""coordinates"":[-122.0782275343228,45.745917707301274]}"
000000000000000012a5,0,,,"{""type"":""Point"",""coordinates"":[-122.29668781313326,45.880743086753256]}"
000000000000000012a6,0,,,"{""type"":""Point"",""coordinates"":[-122.2926211129725,45.93733799732359]}"
000000000000000012a7,0,,,"{""type"":""Point"",""coordinates"":[-122.14417317980222,46.00306068775033]}"
000000000000000012a8,0,,,"{""type"":""Point"",""coordinates"":[-122.00995869719456,46.00376522571678]}"
000000000000000012a9,0,,,"{""type"":""Point"",""coordinates"":[-121.9387869852805,46.09127508389065]}"
000000000000000012aa,0,,,"{""type"":""Point"",""coordinates"":[-122.05571353310395,45.84321529228746]}"
000000000000000012ab,0,,,"{""type"":""Point"",""coordinates"":[-122.06588028350582,45.82054522253174]}"
000000000000000012ac,0,,,"{""type"":""Point"",""coordinates"":[-122.03639670734044,45.81841823132924]}"
000000000000000012ad,0,,,"{""type"":""Point"",""coordinates"":[-122.15332325516391,45.75035005374839]}"
000000000000000012ae,0,,,"{""type"":""Point"",""coordinates"":[-122.11875184469653,45.7248038638132]}"
000000000000000012af,0,,,"{""type"":""Point"",""coordinates"":[-121.99572524663195,45.75957147472692]}"
000000000000000012b0,0,,,"{""type"":""Point"",""coordinates"":[-121.93472028511977,45.7468050684109]}"
000000000000000012b1,0,,,"{""type"":""Point"",""coordinates"":[-121.91947015951698,45.757444483524424]}"
000000000000000012b2,0,,,"{""type"":""Point"",""coordinates"":[-122.19907809107333,45.836134239814584]}"
000000000000000012b3,0,,,"{""type"":""Point"",""coordinates"":[-122.2529663273042,45.86516744677357]}"
000000000000000012b4,0,,,"{""type"":""Point"",""coordinates"":[-122.29058776289216,45.835425242747085]}"
000000000000000012b5,0,,,"{""type"":""Point"",""coordinates"":[-122.28143322842939,45.80778773441783]}"
000000000000000012b6,0,,,"{""type"":""Point"",""coordinates"":[-122.31295461377621,45.78226829908896]}"
000000000000000012b7,0,,,"{""type"":""Point"",""coordinates"":[-122.29872116321363,45.753190501119434]}"
000000000000000012b8,0,,,"{""type"":""Point"",""coordinates"":[-122.27939987834903,45.76524791036796]}"
