region,subregion,class,class_define,area,proportion,area_ha,analysis,note,,
columbia,CRGNSA,0,Not Classified,2000974.638,0.00168939,447.2834915,stability,,,
columbia,CRGNSA,1,Not Rocky,1156305473,0.976249679,258472.2162,stability,,,
columbia,CRGNSA,2,Unstable: Rocky 1/4,7922874.077,0.006689152,1771.022337,stability,,,
columbia,CRGNSA,3,Unstable: Rocky 2/4,4069819.626,0.003436082,909.7382334,stability,,,
columbia,CRGNSA,4,Unstable: Rocky 3/4,4176908.67,0.003526495,933.6761488,stability,,,
columbia,CRGNSA,5,Rocky,9960163.211,0.008409202,2226.42331,stability,,,
cascades,baker,0,Not Classified,1082827.738,0.000137136,242.0475312,stability,,,
cascades,baker,1,Not Rocky,7380484395,0.934710268,1649780.445,stability,,,
cascades,baker,2,Unstable: Rocky 1/4,59394986.55,0.007522149,13276.72848,stability,,,
cascades,baker,3,Unstable: Rocky 2/4,41418497.09,0.005245495,9258.393205,stability,,,
cascades,baker,4,Unstable: Rocky 3/4,56195072.06,0.007116892,12561.44259,stability,,,
cascades,baker,5,Rocky,357437189.8,0.04526806,79898.94086,stability,,,
columbia,chelan,0,Not Classified,856699.4691,0.000480581,191.5004431,stability,,,
columbia,chelan,1,Not Rocky,1761565649,0.988181178,393767.7266,stability,,,
columbia,chelan,2,Unstable: Rocky 1/4,6757572.982,0.003790779,1510.539304,stability,,,
columbia,chelan,3,Unstable: Rocky 2/4,2889029.184,0.001620652,645.7928232,stability,,,
columbia,chelan,4,Unstable: Rocky 3/4,2853691.581,0.001600828,637.8937094,stability,,,
columbia,chelan,5,Rocky,7711643.362,0.004325982,1723.805341,stability,,,
columbia,colville,0,Not Classified,2594203.214,0.000765133,579.8895446,stability,used 2018 instead of 2017 for earliest classification year,,
columbia,colville,1,Not Rocky,3372302783,0.994625139,753820.3306,stability,used 2018 instead of 2017 for earliest classification year,,
columbia,colville,2,Unstable: Rocky 1/4,6603905.726,0.001947752,1476.18963,stability,used 2018 instead of 2017 for earliest classification year,,
columbia,colville,3,Unstable: Rocky 2/4,2202221.991,0.000649522,492.2688787,stability,used 2018 instead of 2017 for earliest classification year,,
columbia,colville,4,Unstable: Rocky 3/4,2126482.735,0.000627184,475.3386696,stability,used 2018 instead of 2017 for earliest classification year,,
columbia,colville,5,Rocky,4696794.155,0.00138527,1049.887614,stability,used 2018 instead of 2017 for earliest classification year,,
cascades,eastGP,0,Not Classified,905822.6869,0.000108452,202.4810942,stability,,,
cascades,eastGP,1,Not Rocky,8193164364,0.980947816,1831441.086,stability,,,
cascades,eastGP,2,Unstable: Rocky 1/4,16630427.56,0.001991121,3717.446271,stability,,,
cascades,eastGP,3,Unstable: Rocky 2/4,10464631.83,0.001252905,2339.1886,stability,,,
cascades,eastGP,4,Unstable: Rocky 3/4,12607066.82,0.001509414,2818.093122,stability,,,
cascades,eastGP,5,Rocky,118521492.9,0.014190293,26493.44282,stability,,,
cascades,forbidden,0,Not Classified,1367432.869,0.000302539,305.6661172,stability,,,
cascades,forbidden,1,Not Rocky,3967365317,0.877763075,886836.3335,stability,,,
cascades,forbidden,2,Unstable: Rocky 1/4,50373574.64,0.011144944,11260.14689,stability,,,
cascades,forbidden,3,Unstable: Rocky 2/4,38452775.37,0.008507517,8595.457084,stability,,,
cascades,forbidden,4,Unstable: Rocky 3/4,58093080.57,0.012852852,12985.70977,stability,,,
cascades,forbidden,5,Rocky,404206799.8,0.089429073,90353.48339,stability,,,
cascades,mt_rainier,0,Not Classified,790652.4161,9.7979E-05,176.7367595,stability,,,
cascades,mt_rainier,1,Not Rocky,7818717555,0.968908519,1747739.937,stability,,,
cascades,mt_rainier,2,Unstable: Rocky 1/4,34509063.17,0.004276421,7713.907998,stability,,,
cascades,mt_rainier,3,Unstable: Rocky 2/4,20719624.67,0.00256761,4631.516007,stability,,,
cascades,mt_rainier,4,Unstable: Rocky 3/4,27246810.22,0.00337647,6090.556161,stability,,,
cascades,mt_rainier,5,Rocky,167630091.4,0.020773,37470.82604,stability,,,
