property,varimp
VV,1236.686187
B,1142.96472
constant,1205.005966
msavi2,1051.837284
G,1018.781024
ndvi_diff,1274.58472
naip_NDVI,1212.305288
nbr_var_pct,1411.914068
nbr_max_var,1147.973092
N,1097.485213
R,1080.919337
roughness,1267.204279
awei_sh,1058.575643
cti,1089.043102
evi,1035.339021
ndvi,1069.811046
elevation,1349.022466
B10,815.9741258
B11,997.6850586
B12,1039.303691
nbr_var_median,1360.434038
tri,1082.670114
slope,1408.210501
tpi,1086.139491
B1,1317.610748
B2,1062.534982
B3,1031.830784
B4,1090.607009
VH,1177.502467
B5,1078.238551
B6,1021.451937
nbi,1227.638001
B7,1028.694634
B8,1096.218564
B9,1225.589374
nd_median,1120.488446
nd_max,1189.76466
ndwi,1124.58509
awei_nsh,1041.428516
nbr,1140.204492
